Return.Year,Conservation.Unit,Sub.Population,Tributary.Deme,WSP.2014.Data.Use.Categories,Total.Return,Total.Spawners,Natural.Returns
1998,Fraser_Canyon,Fraser Canyon,Nahatlatch R,yellow,5460,5460,5460
1999,Fraser_Canyon,Fraser Canyon,Nahatlatch R,yellow,4096,4096,4096
2000,Fraser_Canyon,Fraser Canyon,Nahatlatch R,yellow,2719,2719,2719
2001,Fraser_Canyon,Fraser Canyon,Nahatlatch R,yellow,5971,5971,5971
2002,Fraser_Canyon,Fraser Canyon,Nahatlatch R,yellow,3817,3817,3817
2003,Fraser_Canyon,Fraser Canyon,Nahatlatch R,yellow,4552,4552,4552
2004,Fraser_Canyon,Fraser Canyon,Nahatlatch R,yellow,5872,5872,5872
2005,Fraser_Canyon,Fraser Canyon,Nahatlatch R,yellow,2269,2269,2269
2006,Fraser_Canyon,Fraser Canyon,Nahatlatch R,yellow,1605,1605,1605
2007,Fraser_Canyon,Fraser Canyon,Nahatlatch R,yellow,2739,2739,2739
2008,Fraser_Canyon,Fraser Canyon,Nahatlatch R,yellow,1138,1138,1138
2009,Fraser_Canyon,Fraser Canyon,Nahatlatch R,yellow,2308,2308,2308
2010,Fraser_Canyon,Fraser Canyon,Nahatlatch R,yellow,2227,2227,2226.77945
2011,Fraser_Canyon,Fraser Canyon,Nahatlatch R,yellow,3189,3189,3189
2012,Fraser_Canyon,Fraser Canyon,Nahatlatch R,yellow,5134,5134,5134
2013,Fraser_Canyon,Fraser Canyon,Nahatlatch R,yellow,5398,5398,5398
2014,Fraser_Canyon,Fraser Canyon,Nahatlatch R,yellow,1048.117175,1048.117175,1048.117175
2015,Fraser_Canyon,Fraser Canyon,Nahatlatch R,yellow,351.6928226,351.6928226,351.6928226
2016,Fraser_Canyon,Fraser Canyon,Nahatlatch R,yellow,1159.606667,1159.606667,1159.606667
2017,Fraser_Canyon,Fraser Canyon,Nahatlatch R,yellow,1656.666667,1656.666667,1656.666667
2018,Fraser_Canyon,Fraser Canyon,Nahatlatch R,yellow,4915.531365,4915.531365,4915.531365
2019,Fraser_Canyon,Fraser Canyon,Nahatlatch R,yellow,3258.927536,3258.927536,3258.927536
2020,Fraser_Canyon,Fraser Canyon,Nahatlatch R,yellow,5311.249597,5311.249597,5311.249597
1998,Lower_Thompson,Lower Thompson,Bonaparte R,green,64,63,64
1999,Lower_Thompson,Lower Thompson,Bonaparte R,green,42,42,42
2000,Lower_Thompson,Lower Thompson,Bonaparte R,green,62,62,62
2001,Lower_Thompson,Lower Thompson,Bonaparte R,green,136,136,136
2002,Lower_Thompson,Lower Thompson,Bonaparte R,green,600,600,600
2003,Lower_Thompson,Lower Thompson,Bonaparte R,green,289,289,289
2004,Lower_Thompson,Lower Thompson,Bonaparte R,green,132,132,132
2005,Lower_Thompson,Lower Thompson,Bonaparte R,green,308,308,308
2006,Lower_Thompson,Lower Thompson,Bonaparte R,green,289,289,289
2007,Lower_Thompson,Lower Thompson,Bonaparte R,green,1251,1251,1250.7197
2008,Lower_Thompson,Lower Thompson,Bonaparte R,green,337,337,337
2009,Lower_Thompson,Lower Thompson,Bonaparte R,green,385,385,385
2010,Lower_Thompson,Lower Thompson,Bonaparte R,green,1794,1794,1794
2011,Lower_Thompson,Lower Thompson,Bonaparte R,green,658,658,658
2012,Lower_Thompson,Lower Thompson,Bonaparte R,green,1534,1534,1534
2013,Lower_Thompson,Lower Thompson,Bonaparte R,green,2029,2029,2029
2014,Lower_Thompson,Lower Thompson,Bonaparte R,green,1175,1175,1174.570588
2015,Lower_Thompson,Lower Thompson,Bonaparte R,green,699,699,699
2016,Lower_Thompson,Lower Thompson,Bonaparte R,green,3247,3247,3247
2017,Lower_Thompson,Lower Thompson,Bonaparte R,green,652,652,651.672761
2018,Lower_Thompson,Lower Thompson,Bonaparte R,green,0,0,0
2019,Lower_Thompson,Lower Thompson,Bonaparte R,green,2918,2918,2917.281281
2020,Lower_Thompson,Lower Thompson,Bonaparte R,green,2370,2370,2369.813466
1998,Lower_Thompson,Lower Thompson,Deadman R,green,198,131,174.0193233
1999,Lower_Thompson,Lower Thompson,Deadman R,green,1198,1089,308.2349781
2000,Lower_Thompson,Lower Thompson,Deadman R,green,832,773,104.797421
2001,Lower_Thompson,Lower Thompson,Deadman R,green,914,861,326.1694472
2002,Lower_Thompson,Lower Thompson,Deadman R,green,4282,4214,2093.063226
2003,Lower_Thompson,Lower Thompson,Deadman R,green,1058,1005,572.1316941
2004,Lower_Thompson,Lower Thompson,Deadman R,green,1455,1409,1182.538171
2005,Lower_Thompson,Lower Thompson,Deadman R,green,1173,1141,1019.961865
2006,Lower_Thompson,Lower Thompson,Deadman R,green,232,177,227.6042334
2007,Lower_Thompson,Lower Thompson,Deadman R,green,3175,3124,2752.02728
2008,Lower_Thompson,Lower Thompson,Deadman R,green,833,783,721.2112267
2009,Lower_Thompson,Lower Thompson,Deadman R,green,455.01,455,64.82524104
2010,Lower_Thompson,Lower Thompson,Deadman R,green,2866,2819,2525.583784
2011,Lower_Thompson,Lower Thompson,Deadman R,green,1820,1780,1447.129111
2012,Lower_Thompson,Lower Thompson,Deadman R,green,4816,4775,4458.182418
2013,Lower_Thompson,Lower Thompson,Deadman R,green,3089,3064,2912.18407
2014,Lower_Thompson,Lower Thompson,Deadman R,green,1384.611111,1354.611111,1115.229137
2015,Lower_Thompson,Lower Thompson,Deadman R,green,1335,1259,1126.977455
2016,Lower_Thompson,Lower Thompson,Deadman R,green,2823,2782,2624.833154
2017,Lower_Thompson,Lower Thompson,Deadman R,green,968,866,849.2120295
2018,Lower_Thompson,Lower Thompson,Deadman R,green,640,640,359.7843367
2019,Lower_Thompson,Lower Thompson,Deadman R,green,1716,1680,1296.999058
2020,Lower_Thompson,Lower Thompson,Deadman R,green,2399,2399,2078.484404
1998,Lower_Thompson,Lower Thompson,Tranquille R,yellow,9.233742601,9.233742601,9.233742601
1999,Lower_Thompson,Lower Thompson,Tranquille R,yellow,17.15656596,17.15656596,17.15656596
2000,Lower_Thompson,Lower Thompson,Tranquille R,yellow,0,0,0
2001,Lower_Thompson,Lower Thompson,Tranquille R,yellow,15,15,15
2002,Lower_Thompson,Lower Thompson,Tranquille R,yellow,3,3,3
2003,Lower_Thompson,Lower Thompson,Tranquille R,yellow,45,45,45
2004,Lower_Thompson,Lower Thompson,Tranquille R,yellow,16.33634601,16.33634601,16.33634601
2005,Lower_Thompson,Lower Thompson,Tranquille R,yellow,8,8,8
2006,Lower_Thompson,Lower Thompson,Tranquille R,yellow,0,0,0
2007,Lower_Thompson,Lower Thompson,Tranquille R,yellow,0,0,0
2008,Lower_Thompson,Lower Thompson,Tranquille R,yellow,0,0,0
2009,Lower_Thompson,Lower Thompson,Tranquille R,yellow,25,25,25
2010,Lower_Thompson,Lower Thompson,Tranquille R,yellow,13,13,13
2011,Lower_Thompson,Lower Thompson,Tranquille R,yellow,13,13,13
2012,Lower_Thompson,Lower Thompson,Tranquille R,yellow,158.4666667,158.4666667,158.4666667
2013,Lower_Thompson,Lower Thompson,Tranquille R,yellow,70.8,70.8,70.8
2014,Lower_Thompson,Lower Thompson,Tranquille R,yellow,55.23385301,55.23385301,55.23385301
2015,Lower_Thompson,Lower Thompson,Tranquille R,yellow,7.259259259,7.259259259,7.259259259
2016,Lower_Thompson,Lower Thompson,Tranquille R,yellow,2.865690532,2.865690532,2.865690532
2017,Lower_Thompson,Lower Thompson,Tranquille R,yellow,12.14881273,12.14881273,12.14881273
2018,Lower_Thompson,Lower Thompson,Tranquille R,yellow,2.773176549,2.773176549,2.773176549
2019,Lower_Thompson,Lower Thompson,Tranquille R,yellow,21.03703704,21.03703704,21.03703704
2020,Lower_Thompson,Lower Thompson,Tranquille R,yellow,8,8,8
1998,Lower_Thompson,Nicola,Coldwater R,green,781,691,310.301904
1999,Lower_Thompson,Nicola,Coldwater R,green,2055,1812,1518.866822
2000,Lower_Thompson,Nicola,Coldwater R,green,3080,2870,1828.764218
2001,Lower_Thompson,Nicola,Coldwater R,green,4916,4600,3640.244617
2002,Lower_Thompson,Nicola,Coldwater R,green,5947,5661,3888.531178
2003,Lower_Thompson,Nicola,Coldwater R,green,1259,1194,180.4015744
2004,Lower_Thompson,Nicola,Coldwater R,green,1411,1267,569.9950629
2005,Lower_Thompson,Nicola,Coldwater R,green,1045,935,691.2241203
2006,Lower_Thompson,Nicola,Coldwater R,green,389,300,383.8617878
2007,Lower_Thompson,Nicola,Coldwater R,green,3455,3348,2502.942004
2008,Lower_Thompson,Nicola,Coldwater R,green,1813,1754,1508.66788
2009,Lower_Thompson,Nicola,Coldwater R,green,2887,2751,2254.280763
2010,Lower_Thompson,Nicola,Coldwater R,green,4785,4659,3998.719211
2011,Lower_Thompson,Nicola,Coldwater R,green,3178,3076,2576.564939
2012,Lower_Thompson,Nicola,Coldwater R,green,2416,2320,1736.115667
2013,Lower_Thompson,Nicola,Coldwater R,green,5727,5625,5349.747761
