CUnm CUid Year Sp
Middle_Fraser 1 1998 4891
Middle_Fraser 1 1999 1652
Middle_Fraser 1 2000 3920
Middle_Fraser 1 2001 6162
Middle_Fraser 1 2002 4170
Middle_Fraser 1 2003 3809
Middle_Fraser 1 2004 4760
Middle_Fraser 1 2005 2189
Middle_Fraser 1 2006 1301
Middle_Fraser 1 2007 9958
Middle_Fraser 1 2008 1464
Middle_Fraser 1 2009 2306
Middle_Fraser 1 2010 4689
Middle_Fraser 1 2011 3924
Middle_Fraser 1 2012 7126
Middle_Fraser 1 2013 11625
Middle_Fraser 1 2014 3081
Middle_Fraser 1 2015 1354
Middle_Fraser 1 2016 13664
Middle_Fraser 1 2017 4001
Middle_Fraser 1 2018 3544
Fraser_Canyon 2 1998 5460
Fraser_Canyon 2 1999 4096
Fraser_Canyon 2 2000 2719
Fraser_Canyon 2 2001 5971
Fraser_Canyon 2 2002 3817
Fraser_Canyon 2 2003 4552
Fraser_Canyon 2 2004 5872
Fraser_Canyon 2 2005 2269
Fraser_Canyon 2 2006 1605
Fraser_Canyon 2 2007 2739
Fraser_Canyon 2 2008 1138
Fraser_Canyon 2 2009 2308
Fraser_Canyon 2 2010 2227
Fraser_Canyon 2 2011 3189
Fraser_Canyon 2 2012 5134
Fraser_Canyon 2 2013 5398
Fraser_Canyon 2 2014 1048
Fraser_Canyon 2 2015 352
Fraser_Canyon 2 2016 1160
Fraser_Canyon 2 2017 1657
Fraser_Canyon 2 2018 4916
Lower_Thompson 3 1998 2587
Lower_Thompson 3 1999 4636
Lower_Thompson 3 2000 5207
Lower_Thompson 3 2001 10148
Lower_Thompson 3 2002 16654
Lower_Thompson 3 2003 3289
Lower_Thompson 3 2004 4506
Lower_Thompson 3 2005 2861
Lower_Thompson 3 2006 1226
Lower_Thompson 3 2007 10327
Lower_Thompson 3 2008 3909
Lower_Thompson 3 2009 4916
Lower_Thompson 3 2010 12393
Lower_Thompson 3 2011 7431
Lower_Thompson 3 2012 11696
Lower_Thompson 3 2013 12014
Lower_Thompson 3 2014 7569
Lower_Thompson 3 2015 5307
Lower_Thompson 3 2016 13726
Lower_Thompson 3 2017 4670
Lower_Thompson 3 2018 7522
North_Thompson 4 1998 9928
North_Thompson 4 1999 10866
North_Thompson 4 2000 8224
North_Thompson 4 2001 27408
North_Thompson 4 2002 22207
North_Thompson 4 2003 7384
North_Thompson 4 2004 10787
North_Thompson 4 2005 4677
North_Thompson 4 2006 3786
North_Thompson 4 2007 24702
North_Thompson 4 2008 3931
North_Thompson 4 2009 9749
North_Thompson 4 2010 12301
North_Thompson 4 2011 8870
North_Thompson 4 2012 20124
North_Thompson 4 2013 16357
North_Thompson 4 2014 5385
North_Thompson 4 2015 3287
North_Thompson 4 2016 16955
North_Thompson 4 2017 12040
North_Thompson 4 2018 11531
South_Thompson 5 1998 5331
South_Thompson 5 1999 3366
South_Thompson 5 2000 3443
South_Thompson 5 2001 13290
South_Thompson 5 2002 10722
South_Thompson 5 2003 3466
South_Thompson 5 2004 16100
South_Thompson 5 2005 2507
South_Thompson 5 2006 2022
South_Thompson 5 2007 12494
South_Thompson 5 2008 6896
South_Thompson 5 2009 3918
South_Thompson 5 2010 9119
South_Thompson 5 2011 5005
South_Thompson 5 2012 13479
South_Thompson 5 2013 13251
South_Thompson 5 2014 2334
South_Thompson 5 2015 2549
South_Thompson 5 2016 15119
South_Thompson 5 2017 2984
South_Thompson 5 2018 6669
