"","Mod","CU_ID","CU_Name","est_sigma","est_Smsy","est_Sgen","est_A","est_B","low_Sgen","up_Sgen","retroYr","BMmodel","LRPmodel","useGenMean","integratedModel"
"1","SR_HierRicker_SurvCap",0,"Middle_Fraser",0.557062293396179,4.74211865148634,2809.15149608087,2.04525986844518,6.83207149233918e-08,653.504580225905,4964.79841193583,2015,"SR_HierRicker_SurvCap","BinLogistic",FALSE,TRUE
"2","SR_HierRicker_SurvCap",1,"Fraser_Canyon",0.676603043559653,1.52518454980223,629.060960575792,2.93066932379155,3.01383170811533e-07,-467.46337961305,1725.58530076463,2015,"SR_HierRicker_SurvCap","BinLogistic",FALSE,TRUE
"3","SR_HierRicker_SurvCap",2,"Lower_Thompson",0.713329868184313,4.64968578061152,2396.00037968025,2.36081076151292,8.18057212688987e-08,224.639706272617,4567.36105308789,2015,"SR_HierRicker_SurvCap","BinLogistic",FALSE,TRUE
"4","SR_HierRicker_SurvCap",3,"North_Thompson",0.575845977090514,8.92267931640651,4517.32385521193,2.40285177968415,4.33839483127399e-08,1546.8369926169,7487.81071780695,2015,"SR_HierRicker_SurvCap","BinLogistic",FALSE,TRUE
"5","SR_HierRicker_SurvCap",4,"South_Thompson",0.668731403669632,6.48330408131006,3774.80693371098,2.08296504921544,5.11049770039415e-08,1101.69333776383,6447.92052965814,2015,"SR_HierRicker_SurvCap","BinLogistic",FALSE,TRUE
"6","SR_HierRicker_SurvCap",0,"Middle_Fraser",0.538428914310582,4.72869381916868,2809.64196225657,2.03873287952611,6.82418796075033e-08,691.402716405482,4927.88120810767,2016,"SR_HierRicker_SurvCap","BinLogistic",FALSE,TRUE
"7","SR_HierRicker_SurvCap",1,"Fraser_Canyon",0.661239460357765,1.70465987876234,641.417589925791,3.19501604380308,2.87100021152223e-07,-385.714797985325,1668.54997783691,2016,"SR_HierRicker_SurvCap","BinLogistic",FALSE,TRUE
"8","SR_HierRicker_SurvCap",2,"Lower_Thompson",0.691846933976566,4.5990196943864,2387.21426369186,2.34363602807533,8.20987210282083e-08,229.172837218254,4545.25569016547,2016,"SR_HierRicker_SurvCap","BinLogistic",FALSE,TRUE
"9","SR_HierRicker_SurvCap",3,"North_Thompson",0.573331460407126,8.8319424667077,4264.87347895271,2.51780970876304,4.58222908183261e-08,1523.10733128618,7006.63962661923,2016,"SR_HierRicker_SurvCap","BinLogistic",FALSE,TRUE
"10","SR_HierRicker_SurvCap",4,"South_Thompson",0.647033929202228,6.49350323521652,3842.69398452368,2.04749169598758,4.99614367079819e-08,1255.22268588996,6430.16528315741,2016,"SR_HierRicker_SurvCap","BinLogistic",FALSE,TRUE
"11","SR_HierRicker_SurvCap",0,"Middle_Fraser",0.538429088364493,4.72868721103114,2809.63354152471,2.03873383390046,6.82420149477403e-08,691.395532848954,4927.87155020046,2017,"SR_HierRicker_SurvCap","BinLogistic",FALSE,TRUE
"12","SR_HierRicker_SurvCap",1,"Fraser_Canyon",0.661238500357395,1.70465618997478,641.419360559865,3.1950140462732,2.87100518453505e-07,-385.712986814472,1668.5517079342,2017,"SR_HierRicker_SurvCap","BinLogistic",FALSE,TRUE
"13","SR_HierRicker_SurvCap",2,"Lower_Thompson",0.691847209724404,4.59902025669542,2387.20795052684,2.34363772870676,8.20987715211816e-08,229.168127252806,4545.24777380087,2017,"SR_HierRicker_SurvCap","BinLogistic",FALSE,TRUE
"14","SR_HierRicker_SurvCap",3,"North_Thompson",0.573331324473505,8.83194492462581,4264.87354131547,2.51780740184526,4.58222393539468e-08,1523.10533890694,7006.641743724,2017,"SR_HierRicker_SurvCap","BinLogistic",FALSE,TRUE
"15","SR_HierRicker_SurvCap",4,"South_Thompson",0.647033549176748,6.4934965454813,3842.68966734657,2.0474903940173,4.99614486962798e-08,1255.21900947694,6430.1603252162,2017,"SR_HierRicker_SurvCap","BinLogistic",FALSE,TRUE
"16","SR_HierRicker_SurvCap",0,"Middle_Fraser",0.538428881824554,4.7286956184387,2809.64003891937,2.03872965797966,6.82417187030872e-08,691.398450378209,4927.88162746054,2018,"SR_HierRicker_SurvCap","BinLogistic",FALSE,TRUE
"17","SR_HierRicker_SurvCap",1,"Fraser_Canyon",0.661240305453877,1.70466525071881,641.415153430122,3.19502501765837,2.87099673326515e-07,-385.715523315414,1668.54583017566,2018,"SR_HierRicker_SurvCap","BinLogistic",FALSE,TRUE
"18","SR_HierRicker_SurvCap",2,"Lower_Thompson",0.691848621642266,4.59902282843203,2387.21931331268,2.34363049678081,8.20984682044017e-08,229.171749552049,4545.26687707331,2018,"SR_HierRicker_SurvCap","BinLogistic",FALSE,TRUE
"19","SR_HierRicker_SurvCap",3,"North_Thompson",0.573330970359997,8.83193959017611,4264.85464562137,2.51781676771063,4.58224241975666e-08,1523.09735465022,7006.61193659251,2018,"SR_HierRicker_SurvCap","BinLogistic",FALSE,TRUE
"20","SR_HierRicker_SurvCap",4,"South_Thompson",0.64703446458247,6.49350476313191,3842.70190331623,2.04749001412128,4.99613739485791e-08,1255.22823340033,6430.17557323214,2018,"SR_HierRicker_SurvCap","BinLogistic",FALSE,TRUE
