"","iCombn","nCUs","retroYear","LRP","LRP_lwr","LRP_upr","BMmodel","LRPmodel","useGenMean","integratedModel","Agg_Escp","Gen_Mean","status","se","cv"
"1",1,3,2015,9493.11508578534,7853.73248931993,11132.4976822508,"SR_HierRicker_SurvCap_LowAggPrior","BinLogistic",FALSE,TRUE,6888,13209.9117437571,1.3915255028918,836.41969207419,0.0881080324546592
"2",1,3,2016,9493.10128802022,7853.72582099527,11132.4767550452,"SR_HierRicker_SurvCap_LowAggPrior","BinLogistic",FALSE,TRUE,28287,13114.3322521285,1.3814592148804,836.416054604566,0.0881077773456476
"3",1,3,2017,9290.61278639254,7770.53703047363,10810.6885423115,"SR_HierRicker_SurvCap_LowAggPrior","BinLogistic",FALSE,TRUE,10011,12494.5081142428,1.34485296088788,775.54885506067,0.0834766094435207
"4",1,3,2018,9285.45459773933,7771.20366008276,10799.7055353959,"SR_HierRicker_SurvCap_LowAggPrior","BinLogistic",FALSE,TRUE,15982,16541.1294104589,1.78140221745159,772.57700900845,0.083202927856278
"5",2,3,2015,10431.2657404497,8062.03937477221,12800.4921061273,"SR_HierRicker_SurvCap_LowAggPrior","BinLogistic",FALSE,TRUE,4884,11508.1827312929,1.10323934004165,1208.78896208037,0.11588133138944
"6",2,3,2016,10431.2526586665,8062.05466299729,12800.4506543358,"SR_HierRicker_SurvCap_LowAggPrior","BinLogistic",FALSE,TRUE,31674,11318.417984934,1.08504878132066,1208.77448758636,0.115880089107234
"7",2,3,2017,10412.4845275278,8067.43841411278,12757.5306409428,"SR_HierRicker_SurvCap_LowAggPrior","BinLogistic",FALSE,TRUE,17566,13954.5921750292,1.34017891101178,1196.45209868113,0.114905534362912
"8",2,3,2018,10407.1041595818,8069.75226929461,12744.456049869,"SR_HierRicker_SurvCap_LowAggPrior","BinLogistic",FALSE,TRUE,19991,22322.1884367018,2.14489910876406,1192.52647463633,0.114587733182085
"9",3,3,2015,8836.69932366048,7449.61999607026,10223.7786512507,"SR_HierRicker_SurvCap_LowAggPrior","BinLogistic",FALSE,TRUE,4098,9247.28974723395,1.04646422929363,707.693534484811,0.0800857320775805
"10",3,3,2016,8836.70007086755,7449.62028872072,10223.7798530144,"SR_HierRicker_SurvCap_LowAggPrior","BinLogistic",FALSE,TRUE,29783,9209.1066368138,1.04214317142821,707.693766401443,0.0800857515504614
"11",3,3,2017,8568.72394808943,7328.00505825221,9809.44283792665,"SR_HierRicker_SurvCap_LowAggPrior","BinLogistic",FALSE,TRUE,8489,10118.8768331672,1.18090825360565,633.019841753684,0.0738756255410502
"12",3,3,2018,8567.23118233024,7328.82646059488,9805.63590406561,"SR_HierRicker_SurvCap_LowAggPrior","BinLogistic",FALSE,TRUE,15129,15639.0991364001,1.82545548305682,631.839143742533,0.0737506821393696
"13",4,3,2015,20096.6614124675,16796.4264574844,23396.8963674506,"SR_HierRicker_SurvCap_LowAggPrior","BinLogistic",FALSE,TRUE,8712,15895.7512762164,0.790964775191717,1683.79334437913,0.0837847297031409
"14",4,3,2016,19938.0845797046,16639.4033562152,23236.765803194,"SR_HierRicker_SurvCap_LowAggPrior","BinLogistic",FALSE,TRUE,31601,15580.854502853,0.781461952404049,1683.00062422926,0.0844113494203162
"15",4,3,2017,19988.1087529619,16865.4764627299,23110.7410431939,"SR_HierRicker_SurvCap_LowAggPrior","BinLogistic",FALSE,TRUE,17918,17022.9990522191,0.85165631539285,1593.17973991429,0.0797063774069273
