"","iCombn","nCUs","retroYear","LRP","LRP_lwr","LRP_upr","BMmodel","LRPmodel","useGenMean","integratedModel","Agg_Escp","Gen_Mean","status","se","cv"
"1",1,3,2015,7926.264474634,6028.6598204918,9823.8691287762,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE,6888,13209.9117437571,1.66659992055931,968.165639868469,0.12214652223211
"2",1,3,2016,7926.25683091071,6028.68118478027,9823.83247704116,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE,28287,13114.3322521285,1.65454293645715,968.150839862474,0.122144772812167
"3",1,3,2017,7799.35144692468,6033.1303886671,9565.57250518226,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE,10011,12494.5081142428,1.60199321690644,901.133192988561,0.115539503396001
"4",1,3,2018,7794.93512067308,6037.14930310128,9552.72093824487,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE,15982,16541.1294104589,2.12203554672186,896.829498761121,0.115052849687308
"5",2,3,2015,8785.72560006466,5211.91257969952,12359.5386204298,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE,4884,11508.1827312929,1.30987277035014,1823.37398998221,0.207538235654525
"6",2,3,2016,8784.34005689802,5215.51272241001,12353.167391386,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE,31674,11318.417984934,1.28847675654884,1820.83027269796,0.207281396314813
"7",2,3,2017,8724.12038170736,5268.82301458055,12179.4177488342,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE,17566,13954.5921750292,1.59954145111168,1762.90681996266,0.202072729722884
"8",2,3,2018,8697.80911991149,5300.25038413602,12095.367855687,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE,19991,22322.1884367018,2.5664150740674,1733.44833457932,0.199297123066431
"9",3,3,2015,7307.10828254096,5324.50922968171,9289.70733540022,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE,4098,9247.28974723395,1.26551973635435,1011.53012900982,0.138430975687974
"10",3,3,2016,8172.73238881091,6248.05295414214,10097.4118234797,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE,29783,9209.1066368138,1.12680878299915,981.979303402433,0.120153120974184
"11",3,3,2017,7912.12360438139,6190.1037430502,9634.14346571257,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE,8489,10118.8768331672,1.2789078304545,878.581561903666,0.111042446482654
"12",3,3,2018,7901.6247511154,6199.7922724989,9603.45722973189,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE,15129,15639.0991364001,1.9792257452105,868.281876845151,0.109886498561272
"13",4,3,2015,7651.39207003342,5297.72801472426,10005.0561253426,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE,8712,15895.7512762164,2.0774979416454,1200.8490078108,0.15694516720871
"14",4,3,2016,7651.38558227159,5297.71529400449,10005.0558705387,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE,31601,15580.854502853,2.03634418045199,1200.85218789138,0.156945715907165
"15",4,3,2017,7651.13845885423,5302.89829175608,9999.37862595239,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE,17918,17022.9990522191,2.22489752914082,1198.08171790722,0.156588686030214
"16",4,3,2018,7651.13871002091,5303.0305385812,9999.24688146063,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE,23969,23853.2059463843,3.11760207864785,1198.01437318353,0.15657987896814
"17",5,3,2015,7046.78047846009,5208.97132630697,8884.58963061321,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE,7926,13742.3654431005,1.95016227412033,937.657730690369,0.133061861875293
"18",5,3,2016,7046.78034865397,5208.97149342268,8884.58920388525,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE,29710,13635.0557498404,1.93493412242442,937.657579199634,0.133061842828511
"19",5,3,2017,6930.17541040545,5221.90634800789,8638.444472803,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE,8841,12768.8769982575,1.84250415640063,871.565848162018,0.125763894353004
"20",5,3,2018,6930.16599541611,5221.92910386435,8638.40288696787,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE,19107,17121.1204254712,2.47052097118536,871.549434465182,0.125761696767676
"21",6,3,2015,7000.74097423739,5325.84884520254,8675.63310327225,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE,5922,12084.0296816782,1.72610724009747,854.536800527987,0.122063764917552
"22",6,3,2016,7000.73742899444,5325.84838842533,8675.62646956355,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE,33097,11883.4922013316,1.69746292042244,854.53522478016,0.122063601648734
"23",6,3,2017,7000.63798525967,5326.26939662992,8675.00657388941,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE,16396,14757.0080509882,2.10795188696517,854.269688076401,0.122027405198658
"24",6,3,2018,7000.64425148217,5326.28234570815,8675.00615725619,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE,23116,23235.1996462103,3.31900876712753,854.266278456132,0.122026808929088
"25",7,3,2015,10725.2227761285,7463.13115061189,13987.314401645,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE,9714,18266.7295616174,1.70315619012356,1664.33246199825,0.155179290606683
