"","iCombn","nCUs","retroYear","LRP","LRP_lwr","LRP_upr","BMmodel","LRPmodel","useGenMean","integratedModel","Agg_Escp","Gen_Mean","status","se","cv"
"1",1,3,2015,17839.8310524416,10574.1703950017,25105.4917098814,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,6888,13209.9117437571,0.740472917312142,3706.9697231836,0.20779175050967
"2",1,3,2016,17834.6463114032,10588.117225252,25081.1753975545,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,28287,13114.3322521285,0.735328978390977,3697.2087174241,0.207304852188751
"3",1,3,2017,17154.1001366396,10428.3362342198,23879.8640390594,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,10011,12494.5081142428,0.728368612443601,3431.51219511214,0.200040349990889
"4",1,3,2018,16958.8376426271,10607.146386055,23310.5288991993,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,15982,16541.1294104589,0.975369288805602,3240.65880437355,0.191089676820064
"5",2,3,2015,24954.0630759198,11761.008969682,38147.1171821577,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,4884,11508.1827312929,0.46117470715212,6731.15005420299,0.269741646229083
"6",2,3,2016,24861.8957195903,11935.5201611565,37788.2712780242,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,31674,11318.417984934,0.455251607222193,6595.08957062952,0.265268974056263
"7",2,3,2017,24092.3476198266,12262.4439809538,35922.2512586993,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,17566,13954.5921750292,0.579212636112947,6035.66512187387,0.250522083489567
"8",2,3,2018,23625.6903089287,12569.0154502626,34682.3651675947,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,19991,22322.1884367018,0.944826929703118,5641.16064217655,0.23877230965161
"9",3,3,2015,13729.851966598,9302.36379679598,18157.3401364,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,4098,9247.28974723395,0.673517075765331,2258.92253561327,0.164526357684611
"10",3,3,2016,13729.8428693912,9302.39131754367,18157.2944212387,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,29783,9209.1066368138,0.67073649162761,2258.90385298342,0.164525105966022
"11",3,3,2017,13138.6978557298,9138.10954754766,17139.286163912,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,8489,10118.8768331672,0.770158271715972,2041.11648376641,0.15535150485832
"12",3,3,2018,13111.033393101,9181.2555069427,17040.8112792593,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,15129,15639.0991364001,1.19281971660826,2004.9887174277,0.152923774756208
"13",4,3,2015,94818.1962513401,-4356.15822093375,193992.550723614,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,8712,15895.7512762164,0.167644522936089,50599.1604450377,0.533643988659218
"14",4,3,2016,112513.553181064,-30099.541563111,255126.64792524,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,31601,15580.854502853,0.138479801431382,72761.7830327425,0.646693495810673
"15",4,3,2017,112318.386550495,-28356.3576468653,252993.130747856,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,17918,17022.9990522191,0.151560217120515,71772.8286721229,0.639012283530761
"16",4,3,2018,104912.317772595,-19200.9767555015,229025.612300691,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,23969,23853.2059463843,0.227363253932564,63323.1094531104,0.60358126478883
"17",5,3,2015,47449.8123823766,22645.8463673137,72253.7783974395,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,7926,13742.3654431005,0.289618962712792,12655.0847015627,0.266704630981069
"18",5,3,2016,55536.1479175741,23237.0373261211,87835.2585090271,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,29710,13635.0557498404,0.245516771708354,16479.1380568638,0.296728143286457
"19",5,3,2017,56677.9910769988,22684.9181539855,90671.064000012,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,8841,12768.8769982575,0.22528810135332,17343.4045525578,0.305998928737545
"20",5,3,2018,53795.3845903956,22866.6064248033,84724.162755988,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,19107,17121.1204254712,0.318263742435032,15779.9888599961,0.293333507700461
"21",6,3,2015,64096.8800022824,27473.8602861441,100719.899718421,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,5922,12084.0296816782,0.188527580145053,18685.2141408869,0.291515189822368
"22",6,3,2016,70882.921436304,27838.9907638851,113926.852108723,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,33097,11883.4922013316,0.16764958272791,21961.189118581,0.309823419712117
"23",6,3,2017,70861.0117607001,27710.8689613214,114011.154560079,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,16396,14757.0080509882,0.208252855615766,22015.3789792748,0.31068394921627
"24",6,3,2018,67503.8081720535,27736.6890785654,107270.927265542,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,23116,23235.1996462103,0.344205760762244,20289.3464762695,0.300565953620809
"25",7,3,2015,28221.9022482556,14071.7036654461,42372.1008310651,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,9714,18266.7295616174,0.647253661391533,7219.48907286199,0.2558115682407
"26",7,3,2016,24872.5664657435,13278.478427852,36466.6545036351,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,44041,18896.4698851217,0.759731405729579,5915.35103974058,0.237826323547579
"27",7,3,2017,24318.1602004618,13737.5775661162,34898.7428348075,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,20262,20542.1483175498,0.844724606969228,5398.25644609472,0.221984574556434
"28",7,3,2018,24011.3677156523,14047.0688252553,33975.6666060493,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,22597,27218.4520543457,1.1335652502878,5083.82596448826,0.211725796909697
"29",8,3,2015,19259.0167010961,11816.9453479698,26701.0880542224,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,8928,16117.5757733877,0.836884666727061,3796.97518016648,0.197153117373349
"30",8,3,2016,17122.8657903862,11476.0191048403,22769.712475932,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,42150,16887.4712290448,0.986252618911872,2881.04422731929,0.168257128367898
"31",8,3,2017,16486.0457481341,11482.4263831096,21489.6651131587,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,11185,16145.9120697178,0.979368389266127,2552.8670229717,0.154850172198547
"32",8,3,2018,16424.1171206242,11574.1407454856,21274.0934957628,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,17735,20296.5202657036,1.2357754219992,2474.47774241767,0.150661233370675
"33",9,3,2015,23716.1278964347,14433.7068381206,32998.5489547488,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,6924,14438.1912100937,0.608792095958642,4735.92911138475,0.199692341518226
"34",9,3,2016,23715.6395105421,14435.5724871358,32995.7065339484,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,45537,14948.8394856998,0.630336764861633,4734.7280731665,0.199645810565716
"35",9,3,2017,23131.0299993357,14796.0754165694,31465.984582102,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,18740,18078.5538479503,0.781571501505533,4252.52784835016,0.183845157283194
"36",9,3,2018,22889.4519318266,15014.1084962399,30764.7953674134,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,21744,26474.2996755259,1.15661570903385,4018.03236509528,0.175540785208073
"37",10,3,2015,19322.1288985014,11976.3231689163,26667.9346280865,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,10752,18797.4203745899,0.972844166050867,3747.86006611484,0.193967242729942
"38",10,3,2016,19322.1124005909,11976.3834363318,26667.8413648499,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,45464,19410.6095577494,1.00458009742019,3747.82090013217,0.193965381342962
"39",10,3,2017,19144.8730060772,12172.3667792707,26117.3792328837,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,19092,21054.0722113567,1.09972378530134,3557.40113612578,0.185814820239159
"40",10,3,2018,19128.5371702579,12207.5688489367,26049.5054915791,"SR_IndivRicker_SurvCap","BinLogistic",FALSE,TRUE,25722,28158.3974235153,1.47206224777593,3531.10628638838,0.184598866863627
