"","iCombn","nCUs","retroYear","LRP","LRP_lwr","LRP_upr","BMmodel","LRPmodel","useGenMean","integratedModel","Agg_Escp","Gen_Mean","status","se","cv"
"1",1,3,2015,6690.25575687751,5381.15519653723,7999.3563172178,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,6888,13209.9117437571,1.97450026184388,667.908449153206,0.0998330218492174
"2",1,3,2016,6690.25254471122,5381.15294806137,7999.35214136106,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,28287,13114.3322521285,1.96021482963236,667.907957474412,0.0998329962898646
"3",1,3,2017,6639.8059793946,5372.91191015116,7906.70004863804,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,10011,12494.5081142428,1.88175801416745,646.374525124203,0.0973484055302377
"4",1,3,2018,6639.43351471718,5373.01226981662,7905.85475961773,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,15982,16541.1294104589,2.4913464942142,646.133288214569,0.0973175327055131
"5",2,3,2015,7125.90902359896,5424.90586593967,8826.91218125825,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,4884,11508.1827312929,1.61497749875575,867.858753907802,0.121789199249345
"6",2,3,2016,7125.90344106216,5424.90005718567,8826.90682493865,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,31674,11318.417984934,1.58834849202601,867.858869324739,0.121789310857597
"7",2,3,2017,7124.34532904495,5425.804290276,8822.8863678139,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,17566,13954.5921750292,1.9587192268935,866.602570800485,0.121639607679806
"8",2,3,2018,7124.02047606987,5426.04461973873,8821.99633240101,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,19991,22322.1884367018,3.13336949433031,866.314212413845,0.121604677488486
"9",3,3,2015,6782.30632639489,5534.88862219643,8029.72403059336,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,4098,9247.28974723395,1.36344324514598,636.43760418289,0.0938379326374641
"10",3,3,2016,7024.77713106845,5844.16128313057,8205.39297900633,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,29783,9209.1066368138,1.31094644925954,602.355024458103,0.0857472078073581
"11",3,3,2017,6878.63556123728,5788.78906984196,7968.48205263261,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,8489,10118.8768331672,1.47105872132396,556.044128262923,0.0808363989213735
"12",3,3,2018,6878.20844931536,5788.89632817233,7967.52057045838,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,15129,15639.0991364001,2.27371694993583,555.771490379095,0.0808017806489152
"13",4,3,2015,6787.77159286056,5261.69009063455,8313.85309508657,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,8712,15895.7512762164,2.34182176856624,778.613011339801,0.114708192620794
"14",4,3,2016,6787.77075739239,5261.68901032149,8313.85250446328,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,31601,15580.854502853,2.29543027596863,778.613136260662,0.114708225143387
"15",4,3,2017,6787.74537532198,5261.71106224876,8313.7796883952,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,17918,17022.9990522191,2.50790183057089,778.588935241438,0.114705088684106
"16",4,3,2018,6787.74583226905,5261.71171741656,8313.77994712154,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,23969,23853.2059463843,3.51415720856632,778.588834108413,0.114705066062873
"17",5,3,2015,7396.26059605587,5941.08945368521,8851.43173842654,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,7926,13742.3654431005,1.8580153125525,742.434256311565,0.10037967790203
"18",5,3,2016,7396.26487873812,5941.09386416644,8851.4358933098,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,29710,13635.0557498404,1.8435056036239,742.434191108,0.100379610963131
"19",5,3,2017,7184.20904578932,5829.49953591793,8538.91855566071,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,8841,12768.8769982575,1.77735320852632,691.178321362954,0.0962079912983678
"20",5,3,2018,7184.16139366152,5829.50658077596,8538.81620654708,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,19107,17121.1204254712,2.38317591814918,691.150414737532,0.096204744975151
"21",6,3,2015,7414.25265043429,5931.49099156293,8897.01430930565,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,5922,12084.0296816782,1.62983786113228,756.51105044457,0.102034700746306
"22",6,3,2016,7799.05780397509,6374.46174892704,9223.65385902315,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,33097,11883.4922013316,1.5237086966165,726.834721963294,0.0931951961675209
"23",6,3,2017,7798.08640000393,6375.32366963137,9220.84913037649,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,16396,14757.0080509882,1.89238837504811,725.899352230896,0.0930868568256092
"24",6,3,2018,7798.07601075034,6375.32378951229,9220.82823198839,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,23116,23235.1996462103,2.97960671506388,725.893990427576,0.0930862932634751
"25",7,3,2015,9167.1397166477,7370.35549812371,10963.9239351717,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,9714,18266.7295616174,1.99263130335459,916.72664210408,0.100001382158416
"26",7,3,2016,9167.14535725779,7370.36104428071,10963.9296702349,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,44041,18896.4698851217,2.06132543433066,916.726690294426,0.100001325883705
"27",7,3,2017,9165.60336559981,7371.12173468604,10960.0849965136,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,20262,20542.1483175498,2.24122160845933,915.551852507029,0.0998899707948593
"28",7,3,2018,9165.25459831668,7371.36843731693,10959.1407593164,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,22597,27218.4520543457,2.96974314923502,915.248041326404,0.0998606237839264
"29",8,3,2015,8736.44173714462,7408.66080837808,10064.2226659112,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,8928,16117.5757733877,1.84486731077949,677.439249370681,0.0775417807103802
"30",8,3,2016,9069.9449848937,7760.82225234489,10379.0677174425,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,42150,16887.4712290448,1.86191550854735,667.919761504494,0.0736409937013882
"31",8,3,2017,8946.46630973946,7702.21388824257,10190.7187312364,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,11185,16145.9120697178,1.8047250736462,634.822664029026,0.0709579226088331
"32",8,3,2018,8945.29968449003,7702.17249182158,10188.4268771585,"SR_IndivRicker_Surv_LowAggPrior","BinLogistic",FALSE,TRUE,17735,20296.5202657036,2.26895922792783,634.248567687984,0.0709029982290798
