"","iCombn","nCUs","retroYear","LRP","LRP_lwr","LRP_upr","BMmodel","LRPmodel","useGenMean","integratedModel","Agg_Escp","Gen_Mean","status","se","cv"
"1",1,3,2015,8885.52075567009,7339.67003270317,10431.371478637,"ThreshAbund_Subpop1000_ST","BernLogistic",FALSE,FALSE,6146.059547386,12173.7384713401,1.37006471608,788.699348452507,0.0887623100704837
"2",1,3,2016,10205.4566139864,7058.08620950348,13352.8270184694,"ThreshAbund_Subpop1000_ST","BernLogistic",FALSE,FALSE,27424.098789792,12030.6184071365,1.17884175712909,1605.80122677702,0.157347317960893
"3",1,3,2017,11426.8465319026,7185.81346574581,15667.8795980594,"ThreshAbund_Subpop1000_ST","BernLogistic",FALSE,FALSE,9482.51543766,11691.876759306,1.02319364547896,2163.79238069224,0.189360413185838
"4",1,3,2018,11293.2300479578,7442.10195711925,15144.3581387964,"ThreshAbund_Subpop1000_ST","BernLogistic",FALSE,FALSE,15192.900499599,15808.7988018175,1.39984740722396,1964.861270836,0.173985765143544
"5",1,3,2015,7460.37652026282,5663.55116078202,9257.20187974362,"ThreshAbund_Subpop1000_ST","BinLogistic",FALSE,FALSE,6146.059547386,12173.7384713401,1.63178606847463,916.747632388163,0.122882220474828
"6",1,3,2016,6681.81566168439,1155.75130757822,12207.8800157906,"ThreshAbund_Subpop1000_ST","BinLogistic",FALSE,FALSE,27424.098789792,12030.6184071365,1.80050139307551,2819.42058882968,0.421954260875096
"7",1,3,2017,6387.51559572554,-1167.27009975452,13942.3012912056,"ThreshAbund_Subpop1000_ST","BinLogistic",FALSE,FALSE,9482.51543766,11691.876759306,1.83042633463472,3854.48249769391,0.603440013559151
"8",1,3,2018,6568.62475298644,-170.70781321702,13307.9573191899,"ThreshAbund_Subpop1000_ST","BinLogistic",FALSE,FALSE,15192.900499599,15808.7988018175,2.40671364194308,3438.43498275687,0.523463451187949
"9",2,3,2015,13245.9599440629,10228.5136336527,16263.4062544731,"ThreshAbund_Subpop1000_ST","BernLogistic",FALSE,FALSE,7999.008068473,14827.6222642455,1.11940714956575,1539.51342367867,0.116225130543952
"10",2,3,2016,14611.6535828066,11029.6158088947,18193.6913567184,"ThreshAbund_Subpop1000_ST","BernLogistic",FALSE,FALSE,30591.160596404,14519.8277586198,0.993715576155265,1827.57029281218,0.125076212795154
