"stk","alpha","beta","sigma","gamma"
1,2.24963671794123,8.97029421886138e-05,0.725196523781639,0.252841333849592
2,1.79076074795895,0.000203326915885343,0.634538808200932,0.252841333849592
3,2.39952057706643,9.76029761842125e-05,0.85714195405112,0.252841333849592
4,2.20751577055265,5.39515266972624e-05,0.47079622087465,0.252841333849592
5,2.43543097012043,6.51946852045117e-05,0.692370320442095,0.252841333849592
1,1.97551942561567,0.000105944236906523,0.449407247791778,0.214242777588731
2,1.74803465171439,0.000155787273596304,0.729720704365516,0.214242777588731
3,2.24878227383156,8.6508126397863e-05,1.05906113352079,0.214242777588731
4,2.12987464814629,4.91423142685051e-05,0.802907229400392,0.214242777588731
5,2.27404503686967,6.96243290271642e-05,0.925307823299485,0.214242777588731
1,2.44920147485022,9.90790702638929e-05,0.632624937114347,0.36555210898534
2,2.59564582898071,0.000147705858368068,0.848639907573033,0.36555210898534
3,2.77450198367167,0.000100273450287786,0.776433588635362,0.36555210898534
4,2.88014770901902,5.87956187810243e-05,0.731757176290194,0.36555210898534
5,2.92216676636887,7.0978265704076e-05,0.94321233818174,0.36555210898534
1,2.77863654928643,8.92852163224957e-05,0.787782413729277,0.396757008407301
2,2.68710123280655,0.000145479761218019,0.841036247837727,0.396757008407301
3,2.92926775956483,0.000102228165342018,0.569633742965596,0.396757008407301
4,3.0272473323877,5.36174983524446e-05,0.593259275261571,0.396757008407301
5,2.87431330491487,6.71858776578724e-05,0.795703956374628,0.396757008407301
1,3.33142111935099,0.000103729668978922,0.51590856253198,0.547794036017977
2,3.5562354612942,0.000184749807687877,0.841542813729641,0.547794036017977
3,3.71752413452883,8.42114016675208e-05,1.1946373281486,0.547794036017977
4,3.62741487804684,5.42066219090384e-05,0.450614974778606,0.547794036017977
5,3.78091809335576,7.63432829979233e-05,0.938790320941921,0.547794036017977
1,2.28143410946796,9.29223780150293e-05,0.688385562175535,0.274951885606039
2,2.34271396930075,0.000222182073710224,0.679297801239529,0.274951885606039
3,2.10940199833215,8.34859191326981e-05,0.470765420176442,0.274951885606039
4,2.56998009319195,5.35277226253866e-05,0.761353549966071,0.274951885606039
5,2.45533615168074,7.88896003288912e-05,0.700133604925454,0.274951885606039
1,2.04507066054658,0.00010727896655931,0.746551168496211,0.196958345161247
2,1.87090114948179,0.000221407481134569,0.740187533226521,0.196958345161247
3,2.13140362938231,0.000102940712606683,1.18984137377802,0.196958345161247
4,1.96374250296348,5.37760951231204e-05,0.476071283532997,0.196958345161247
5,1.93190884875962,6.31884755049854e-05,0.728649136064951,0.196958345161247
1,3.12369288481338,9.96400956291622e-05,0.68716006324724,0.450583254566637
2,2.51051264093736,0.000137685911367188,0.923872905395193,0.450583254566637
