"stk","alpha","beta","sigma","gamma","Sgen"
1,2.65204929849873,2.75346055149765e-05,0.675254247516052,0.556399576640053,2852.2607801991
2,2.47901924943861,5.21906648589895e-05,0.635715130877477,0.556399576640053,894.236991284901
3,3.0827766400375,0.000123171805723802,0.517885159847975,0.556399576640053,2155.12349310326
4,3.27707306369839,6.26330904371601e-05,0.417876280249303,0.556399576640053,2945.88488192944
5,2.79828244326235,5.04726570515798e-05,0.622813720613261,0.556399576640053,3377.52666462647
1,2.93292432503607,5.34384491670726e-05,0.621938646127702,0.543792634501642,3142.4459397107
2,2.46439379811545,4.00270049656678e-05,0.753400150293847,0.543792634501642,387.340852786228
3,2.79704228123906,6.85801357805093e-05,0.562303157458525,0.543792634501642,1980.31288887294
4,3.06832340157237,6.22229503690298e-05,0.43550947458801,0.543792634501642,3503.95313340534
5,2.65980999125879,4.15516712266433e-05,0.645391955516353,0.543792634501642,1854.53146865568
1,3.03133339394993,5.14804929672252e-05,0.614816468009228,0.582905836258576,2979.51029425151
2,2.64590922057626,4.33097344112044e-05,0.858504224159021,0.582905836258576,318.108504121683
3,3.28324951896075,0.000105631048138217,0.492952875476988,0.582905836258576,2707.19145695595
4,3.44429192298613,7.54839021326928e-05,0.457385922135668,0.582905836258576,2820.81209681336
5,2.64953735676236,2.3920044463186e-05,0.623249683807592,0.582905836258576,1283.79469207251
1,2.78488867072395,0.000142573968408275,0.468666065255628,0.449612302884251,1495.5968123567
2,3.35790330204545,0.000472816177916079,0.507148331995166,0.449612302884251,208.964631837659
3,2.18304377687271,4.37220526607922e-05,0.914507723150542,0.449612302884251,2696.2228037297
4,3.15350372898094,8.89990052498813e-05,0.422322644409341,0.449612302884251,1879.27690287666
5,2.76826521819926,8.10275578061316e-05,0.645977275763694,0.449612302884251,1935.52791619849
1,2.93457225405358,6.46416766028578e-05,0.61584168644541,0.519502041913681,2144.82885186948
2,3.41031438205364,0.000339190472479854,0.765238581334437,0.519502041913681,598.903032746976
3,2.21883894611077,3.48799761808507e-05,0.717175017712978,0.519502041913681,147.367154415103
4,3.15053734305698,6.91311066796144e-05,0.510794845554714,0.519502041913681,2514.09897648493
5,3.04990503193104,8.9247761670213e-05,0.410886627195101,0.519502041913681,2576.33752597712
1,2.70891378681914,5.30714943328817e-05,0.481939080726648,0.584602338955206,1050.33793289543
2,3.55757071775618,0.000407317457088306,0.565690217686765,0.584602338955206,374.869473491323
3,3.04037335573808,0.000129099120805041,0.849125495492663,0.584602338955206,1517.70869663235
4,3.46769058764831,7.10239816726538e-05,0.604600121977323,0.584602338955206,2727.00118462836
5,2.94241599316773,5.58476598740853e-05,0.911273392967487,0.584602338955206,1926.78441052076
1,2.18134596812234,7.02098522916309e-05,0.549160283854492,0.455760694540644,526.445940104943
2,3.04374393107093,0.00028375405782913,0.919268628356262,0.455760694540644,646.471319779098
3,2.73435266949995,7.33482270251692e-05,0.568235309254369,0.455760694540644,1695.27305128304
4,3.04313619117551,6.92479551740036e-05,0.402279570426183,0.455760694540644,2800.43606601508
5,2.51949706420145,6.35535870679343e-05,0.436586672341143,0.455760694540644,2737.32381951049
1,2.75786074836066,4.04309910498172e-05,0.564719858329028,0.489234390893395,4207.81954060595
2,2.09159662001427,0.000129458108457461,0.798580060761126,0.489234390893395,60.7261045565869
3,2.76019524591227,0.000116417044902765,0.842079447178596,0.489234390893395,1026.29786657004
4,3.18289136663808,9.12878879426952e-05,0.710987721890155,0.489234390893395,1818.184027718
5,2.81751036122057,6.44905215356706e-05,1.02546265894526,0.489234390893395,2898.67347306657
1,3.12223283843975,0.00012967635236176,0.531312633486636,0.53266174214685,1444.93383455659
2,3.12613241147868,0.000325814324578567,0.522810848022455,0.53266174214685,41.5372467995714
