"","retroYear","LRP","LRP_lwr","LRP_upr","BMmodel","LRPmodel","useGenMean","integratedModel"
"1",1957,1769.11554715727,NA,NA,"Percentile","BernLogistic",FALSE,FALSE
"2",1958,1769.57734717683,NA,NA,"Percentile","BernLogistic",FALSE,FALSE
"3",1959,647430.687713651,-554283516689966145408420404408266426466880680848604624840224028266864426068406806402268006002408088004466600026060008820668604468820,554283516689966145408420404408266426466880680848604624840224028266864426068406806402268006002408088004466600026060008820668604468820,"Percentile","BernLogistic",FALSE,FALSE
"4",1960,647433.278678552,-1540357734462973163144402824662622208280642822648822860646868228646206408088268460062404664862042848220262806648264628242820882,1540357734462973163144402824662622208280642822648822860646868228646206408088268460062404664862042848220262806648264628242820882,"Percentile","BernLogistic",FALSE,FALSE
"5",1961,593833.611266424,NA,NA,"Percentile","BernLogistic",FALSE,FALSE
"6",1962,593833.420394736,NA,NA,"Percentile","BernLogistic",FALSE,FALSE
"7",1963,561049.943391809,261816.452301688,860283.43448193,"Percentile","BernLogistic",FALSE,FALSE
"8",1964,593830.320350513,NA,NA,"Percentile","BernLogistic",FALSE,FALSE
"9",1965,575090.875452869,305056.254464274,845125.496441464,"Percentile","BernLogistic",FALSE,FALSE
"10",1966,593770.514353284,NA,NA,"Percentile","BernLogistic",FALSE,FALSE
"11",1967,593769.929596112,NA,NA,"Percentile","BernLogistic",FALSE,FALSE
"12",1968,593668.492702847,NA,NA,"Percentile","BernLogistic",FALSE,FALSE
"13",1969,593587.823677082,NA,NA,"Percentile","BernLogistic",FALSE,FALSE
"14",1970,588279.128833398,NA,NA,"Percentile","BernLogistic",FALSE,FALSE
"15",1971,588279.127415451,NA,NA,"Percentile","BernLogistic",FALSE,FALSE
"16",1972,862092.399139731,430194.559478422,1293990.23880104,"Percentile","BernLogistic",FALSE,FALSE
"17",1973,789616.76463398,508245.582012684,1070987.94725528,"Percentile","BernLogistic",FALSE,FALSE
"18",1974,802153.916393118,521270.373367206,1083037.45941903,"Percentile","BernLogistic",FALSE,FALSE
"19",1975,800508.7941992,525608.859791078,1075408.72860732,"Percentile","BernLogistic",FALSE,FALSE
"20",1976,807252.626811385,456431.655105127,1158073.59851764,"Percentile","BernLogistic",FALSE,FALSE
"21",1977,830586.071665926,464894.778827833,1196277.36450402,"Percentile","BernLogistic",FALSE,FALSE
"22",1978,829494.486924363,552412.621465193,1106576.35238353,"Percentile","BernLogistic",FALSE,FALSE
"23",1979,644102.441262892,567657.370273032,720547.512252751,"Percentile","BernLogistic",FALSE,FALSE
"24",1980,707576.040019351,599010.835935502,816141.244103199,"Percentile","BernLogistic",FALSE,FALSE
"25",1981,709624.973039694,603844.808508039,815405.137571348,"Percentile","BernLogistic",FALSE,FALSE
"26",1982,688832.900324798,596390.393225359,781275.407424238,"Percentile","BernLogistic",FALSE,FALSE
"27",1983,688606.439797146,597548.979065208,779663.900529085,"Percentile","BernLogistic",FALSE,FALSE
"28",1984,708795.776537087,611179.200107982,806412.352966192,"Percentile","BernLogistic",FALSE,FALSE
"29",1985,708756.031913175,611386.045063101,806126.018763249,"Percentile","BernLogistic",FALSE,FALSE
"30",1986,803521.878243087,612251.793173673,994791.963312501,"Percentile","BernLogistic",FALSE,FALSE
"31",1987,700412.044383437,621448.237438433,779375.85132844,"Percentile","BernLogistic",FALSE,FALSE
"32",1988,784231.518973522,623649.897015481,944813.140931562,"Percentile","BernLogistic",FALSE,FALSE
"33",1989,696137.127211573,626458.278800954,765815.975622192,"Percentile","BernLogistic",FALSE,FALSE
"34",1990,764011.803365086,628292.875693049,899730.731037124,"Percentile","BernLogistic",FALSE,FALSE
"35",1991,773836.567325889,635892.829080006,911780.305571772,"Percentile","BernLogistic",FALSE,FALSE
"36",1992,762349.722464489,642193.869253189,882505.575675789,"Percentile","BernLogistic",FALSE,FALSE
"37",1993,789684.09119375,655722.611392353,923645.570995148,"Percentile","BernLogistic",FALSE,FALSE
"38",1994,821555.356326525,669380.110541197,973730.602111852,"Percentile","BernLogistic",FALSE,FALSE
"39",1995,831272.614598861,648011.311785254,1014533.91741247,"Percentile","BernLogistic",FALSE,FALSE
"40",1996,830923.311933211,650650.840083971,1011195.78378245,"Percentile","BernLogistic",FALSE,FALSE
"41",1997,838072.536359587,656209.193827667,1019935.87889151,"Percentile","BernLogistic",FALSE,FALSE
"42",1998,871089.101242831,665265.943067095,1076912.25941857,"Percentile","BernLogistic",FALSE,FALSE
"43",1999,817991.968769206,660748.378049827,975235.559488585,"Percentile","BernLogistic",FALSE,FALSE
"44",2000,817675.515823324,662686.390325879,972664.641320768,"Percentile","BernLogistic",FALSE,FALSE
"45",2001,814450.703934203,667703.291006949,961198.116861458,"Percentile","BernLogistic",FALSE,FALSE
"46",2002,856624.611921803,687301.849234573,1025947.37460903,"Percentile","BernLogistic",FALSE,FALSE
"47",2003,898559.92196517,695159.923193385,1101959.92073696,"Percentile","BernLogistic",FALSE,FALSE
"48",2004,1138721.17451932,675839.389198641,1601602.95984,"Percentile","BernLogistic",FALSE,FALSE
"49",2005,1161816.53491466,681053.857913965,1642579.21191536,"Percentile","BernLogistic",FALSE,FALSE
"50",2006,1246239.43558644,678894.22375503,1813584.64741786,"Percentile","BernLogistic",FALSE,FALSE
"51",2007,1252303.95989867,681401.208993236,1823206.7108041,"Percentile","BernLogistic",FALSE,FALSE
"52",2008,1283672.68682116,681271.388848518,1886073.98479381,"Percentile","BernLogistic",FALSE,FALSE
"53",2009,1366657.37733394,661240.916160305,2072073.83850758,"Percentile","BernLogistic",FALSE,FALSE
"54",2010,1363676.21152504,672140.072057535,2055212.35099255,"Percentile","BernLogistic",FALSE,FALSE
"55",2011,1304602.4444143,695091.309963816,1914113.57886479,"Percentile","BernLogistic",FALSE,FALSE
"56",2012,1550521.10031826,572193.756620331,2528848.44401618,"Percentile","BernLogistic",FALSE,FALSE
"57",2013,1843533.69184407,212009.631476404,3475057.75221173,"Percentile","BernLogistic",FALSE,FALSE
"58",2014,1778771.10547228,429547.749928345,3127994.46101621,"Percentile","BernLogistic",FALSE,FALSE
"59",2015,1565701.87517849,592086.435201844,2539317.31515514,"Percentile","BernLogistic",FALSE,FALSE
"60",2016,2381175.33784555,-475049.838579093,5237400.5142702,"Percentile","BernLogistic",FALSE,FALSE
"61",2017,2149443.27561189,-55972.5880516991,4354859.13927548,"Percentile","BernLogistic",FALSE,FALSE
"62",2018,2148800.20756105,-24879.628451989,4322480.04357408,"Percentile","BernLogistic",FALSE,FALSE
