"","retroYear","LRP","LRP_lwr","LRP_upr","BMmodel","LRPmodel","useGenMean","integratedModel"
"1",1970,132637.839528735,-50825.2634660391,316100.942523508,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"2",1971,184744.976193569,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"3",1972,223058.514407364,96693.7083310571,349423.320483671,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"4",1973,151823.27565784,-61589.7729677071,365236.324283387,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"5",1974,158177.09272667,-40265.1740957079,356619.359549047,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"6",1975,159765.458096577,-31815.5733268442,351346.489519999,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"7",1976,45536.2270238007,-319225.237813543,410297.691861144,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"8",1977,-94096.828494501,-713063.492650678,524869.835661676,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"9",1978,4177.16906554092,-421136.502507673,429490.840638755,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"10",1979,108104.125120584,-150381.42107821,366589.671319377,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"11",1980,31113.3609992071,-330589.974154548,392816.696152962,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"12",1981,-40328.3557859958,-515423.646325619,434766.934753628,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"13",1982,170436.79199957,-116324.371364933,457197.955364072,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"14",1983,170913.606784182,-116947.434657691,458774.648226055,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"15",1984,160193.040725989,-123914.470908252,444300.552360229,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"16",1985,84836.8966581141,-311829.15101499,481502.944331218,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"17",1986,237509.675174581,25585.9339653067,449433.416383856,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"18",1987,221356.570405351,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"19",1988,288968.164843404,145179.636486696,432756.693200112,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"20",1989,200742.197025099,-6945.76196601216,408430.156016211,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"21",1990,255645.901476772,75355.9972924399,435935.805661103,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"22",1991,233249.590242214,40155.3649818416,426343.815502586,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"23",1992,307949.482846825,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"24",1993,225034.7276279,-1514.12524964343,451583.580505443,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"25",1994,128428.987851216,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"26",1995,112281.896603291,-278246.107886005,502809.901092586,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"27",1996,126411.058411645,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"28",1997,173930.723268669,-100901.793040999,448763.239578337,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"29",1998,187125.636213608,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"30",1999,376693.539398564,234102.822411732,519284.256385397,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"31",2000,400630.608195429,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"32",2001,267150.400057921,48003.023328522,486297.776787321,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"33",2002,-11527.021396128,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"34",2003,218885.535544284,-79087.8748194313,516858.945908,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"35",2004,-125361.358907815,-997832.1106234,747109.39280777,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"36",2005,-58998.2333743314,-689457.746414051,571461.279665389,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"37",2006,-11527.021396128,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"38",2007,-364576.889077704,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"39",2008,-335688.919394643,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"40",2009,-373464.844508501,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"41",2010,-161592.443455858,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
