"","retroYear","LRP","LRP_lwr","LRP_upr","BMmodel","LRPmodel","useGenMean","integratedModel"
"1",1970,240293.436249024,181684.942222145,298901.930275903,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"2",1971,199488.085878455,167326.843441984,231649.328314926,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"3",1972,369326.68165208,318395.798469431,420257.564834729,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"4",1973,351600.023313296,299305.03437203,403895.012254561,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"5",1974,351547.523664512,299305.700349827,403789.346979197,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"6",1975,351385.458483305,303178.577664283,399592.339302327,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"7",1976,445836.223297007,397396.107541575,494276.33905244,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"8",1977,463066.612024693,412626.341870529,513506.882178857,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"9",1978,474672.486822474,424046.102040917,525298.871604031,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"10",1979,471338.300295774,423056.861371742,519619.739219805,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"11",1980,471301.532615093,423055.596174341,519547.469055846,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"12",1981,502752.275992566,451378.585137822,554125.966847311,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"13",1982,528431.435384339,474765.451254092,582097.419514587,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"14",1983,535521.394414224,482230.834810279,588811.954018169,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"15",1984,524490.622091766,471919.837198169,577061.406985364,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"16",1985,578355.68050961,520632.531196572,636078.829822649,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"17",1986,600293.266771694,541603.128619078,658983.40492431,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"18",1987,600224.336961931,542571.413177148,657877.260746713,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"19",1988,613007.448511013,555161.171034901,670853.725987124,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"20",1989,577221.87737223,521353.666524835,633090.088219625,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"21",1990,612366.366811741,554713.713659831,670019.019963651,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"22",1991,607729.461551715,551246.054932417,664212.868171013,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"23",1992,645515.870057047,587295.774340451,703735.965773643,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"24",1993,659400.080707535,599874.503651417,718925.657763652,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"25",1994,683430.493730821,622729.562553216,744131.424908425,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"26",1995,686936.534664277,626990.269340966,746882.799987588,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"27",1996,670822.267840421,613016.303200627,728628.232480214,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"28",1997,678107.366513248,621011.836854138,735202.896172359,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"29",1998,690159.12248958,632966.958920898,747351.286058261,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"30",1999,693394.266884062,636852.533999471,749935.999768652,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"31",2000,699029.95157196,643316.815011991,754743.088131929,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"32",2001,724393.213132673,667244.607497998,781541.818767349,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"33",2002,741029.631913929,682769.601201867,799289.662625991,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"34",2003,732572.431662854,674444.831425504,790700.031900204,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"35",2004,782514.366882714,721220.913632281,843807.820133147,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"36",2005,791676.098792686,731094.239263659,852257.958321713,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"37",2006,781590.052340839,722008.380084673,841171.724597006,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"38",2007,823142.052302359,762033.002733668,884251.101871049,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"39",2008,830377.216726641,769741.165817172,891013.267636109,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"40",2009,847468.048554504,786088.451994028,908847.64511498,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"41",2010,839640.690991618,779523.997551167,899757.384432069,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
