"","retroYear","LRP","LRP_lwr","LRP_upr","BMmodel","LRPmodel","useGenMean","integratedModel"
"1",1970,190827.318123147,144532.344258992,237122.291987302,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"2",1971,181291.982605819,161766.788248949,200817.176962689,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"3",1972,279515.82023586,237543.54329987,321488.09717185,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"4",1973,262962.05221796,219454.63189071,306469.472545209,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"5",1974,262929.940976921,219443.648589192,306416.233364649,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"6",1975,262711.799495136,222228.137553182,303195.46143709,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"7",1976,334726.072482292,296414.093632325,373038.051332259,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"8",1977,343218.773060729,303419.925481446,383017.620640012,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"9",1978,353679.526607211,314191.839115934,393167.214098489,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"10",1979,352736.076074446,315728.612447362,389743.53970153,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"11",1980,352717.657541923,315723.115311886,389712.19977196,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"12",1981,371434.614135298,332241.94768086,410627.280589736,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"13",1982,388784.424331724,348121.207952532,429447.640710916,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"14",1983,393214.840502719,352626.48996731,433803.191038129,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"15",1984,383768.327100274,343379.867669784,424156.786530763,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"16",1985,414741.246256856,370268.104641126,459214.387872585,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"17",1986,433658.322322271,388820.984792129,478495.659852412,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"18",1987,435569.162294049,391523.153708883,479615.170879216,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"19",1988,447957.293847593,404005.073134348,491909.514560838,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
