"","retroYear","LRP","LRP_lwr","LRP_upr","BMmodel","LRPmodel","useGenMean","integratedModel"
"1",1970,198393.310270377,151333.064815375,245453.555725378,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"2",1971,184065.315748062,165577.492396761,202553.139099362,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"3",1972,293227.129290369,250833.618261169,335620.640319569,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"4",1973,276615.413134041,232714.979893737,320515.846374344,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"5",1974,276583.434444338,232707.447833932,320459.421054744,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"6",1975,276358.456319369,235684.146109262,317032.766529476,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"7",1976,351372.40578196,312546.564828439,390198.246735482,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"8",1977,361179.937819362,320787.667416593,401572.208222131,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"9",1978,371733.232000298,331573.043373434,411893.420627162,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"10",1979,370341.46107245,332652.666820708,408030.255324192,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"11",1980,370321.628424176,332647.96737536,407995.289472992,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"12",1981,390891.671432955,350855.178604403,430928.164261507,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"13",1982,409414.277421928,367761.621275116,451066.933568741,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"14",1983,414265.448505045,372720.241444823,455810.655565266,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"15",1984,404650.802469836,363390.201431483,445911.403508189,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"16",1985,439029.358567073,393489.485243616,484569.23189053,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"17",1986,458289.719642976,412270.599091368,504308.840194584,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"18",1987,459900.51673063,414699.475662274,505101.557798986,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"19",1988,472280.994348504,427110.863885678,517451.124811329,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"20",1989,436606.115394962,392613.495340191,480598.735449733,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"21",1990,463663.314715699,418291.769226047,509034.860205352,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
