"","retroYear","LRP","LRP_lwr","LRP_upr","BMmodel","LRPmodel","useGenMean","integratedModel"
"1",1970,222908.940118009,162420.445856919,283397.434379099,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"2",1971,190808.765996732,157105.642224731,224511.889768734,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"3",1972,239178.110588682,194966.048738896,283390.172438467,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"4",1973,199130.082209049,152082.570469073,246177.593949025,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"5",1974,199129.859622093,152081.69256045,246178.026683736,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"6",1975,236802.881438688,195104.136852976,278501.6260244,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"7",1976,308984.793532265,263002.55989202,354967.02717251,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"8",1977,298581.187093334,252256.833329457,344905.540857211,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"9",1978,318306.60273532,272920.599563562,363692.605907078,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"10",1979,314828.076727206,272177.863835771,357478.289618642,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"11",1980,314819.148027011,272178.958055281,357459.337998741,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"12",1981,314695.015982976,272165.49650344,357224.535462512,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"13",1982,314678.63055064,272166.497841763,357190.763259517,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"14",1983,314309.263552338,272077.639626658,356540.887478018,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"15",1984,295428.138402139,253807.597159117,337048.67964516,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"16",1985,305798.982467586,263369.403513312,348228.56142186,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
