"","retroYear","LRP","LRP_lwr","LRP_upr","BMmodel","LRPmodel","useGenMean","integratedModel"
"1",1970,202968.25479588,147576.237871001,258360.27172076,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"2",1971,186932.114576614,167575.27769993,206288.951453297,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"3",1972,301143.897884175,252821.210071269,349466.585697081,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"4",1973,282456.971594678,231876.001448311,333037.941741044,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"5",1974,282376.407723637,231853.485077112,332899.330370162,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"6",1975,282336.363213976,235132.373401081,329540.353026871,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"7",1976,365619.101440837,320689.681851199,410548.521030474,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"8",1977,376412.122585373,329283.531021954,423540.714148792,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"9",1978,388302.080771312,341613.963405565,434990.198137059,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"10",1979,387984.274420642,344140.819283862,431827.729557422,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"11",1980,387923.747052242,344128.069137184,431719.4249673,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"12",1981,410962.053371876,364223.151419545,457700.955324207,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"13",1982,431699.235031956,383109.96163412,480288.508429792,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"14",1983,436387.769898534,388125.414784464,484650.125012605,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"15",1984,425444.534939378,377472.308081549,473416.761797207,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"16",1985,463158.715744527,410018.579649392,516298.851839662,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"17",1986,484483.359102769,431188.074732252,537778.643473285,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"18",1987,485694.219149423,433645.700519302,537742.737779544,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"19",1988,499008.700526475,447370.143551721,550647.257501229,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"20",1989,461095.363502202,409886.252348838,512304.474655567,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"21",1990,490358.987887786,437990.924340924,542727.051434649,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"22",1991,486701.866529897,435455.612153851,537948.120905943,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"23",1992,519375.594757699,467052.133849906,571699.055665492,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"24",1993,524259.2205953,470030.316680523,578488.124510076,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"25",1994,540801.664137472,485289.108925838,596314.219349107,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"26",1995,540394.912709882,485117.668668102,595672.156751662,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"27",1996,527773.673572238,474372.152096759,581175.195047718,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"28",1997,533682.00114842,480943.164844498,586420.837452342,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"29",1998,543148.881193727,490381.990526023,595915.771861432,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"30",1999,548214.519691518,496474.969921532,599954.069461504,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"31",2000,554302.079628125,503494.527501545,605109.631754704,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"32",2001,572998.974370821,520741.625027847,625256.323713795,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
"33",2002,583610.386287425,530071.1275653,637149.645009549,"SR_IndivRicker_NoSurv_LowAggPrior","BinLogistic",FALSE,TRUE
