"","retroYear","LRP","LRP_lwr","LRP_upr","BMmodel","LRPmodel","useGenMean","integratedModel"
"1",1970,163078.391715645,21316.7491666755,304840.034264615,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"2",1971,181496.000629876,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"3",1972,217791.613112622,168337.630803637,267245.595421608,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"4",1973,185315.631623714,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"5",1974,184184.710695374,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"6",1975,215957.94555949,169122.350676088,262793.540442892,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"7",1976,242921.80228931,151035.35887154,334808.245707081,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"8",1977,229661.141818296,131720.373863427,327601.909773165,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"9",1978,258515.306187199,178789.02212735,338241.590247047,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"10",1979,256136.140730323,179400.676530315,332871.604930332,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"11",1980,256361.486454726,180240.531590454,332482.441318998,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"12",1981,256869.245929891,182305.860141466,331432.631718316,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"13",1982,257108.875746961,183182.485046844,331035.266447079,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"14",1983,257475.061268469,185323.333282136,329626.789254801,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"15",1984,242181.719461381,170010.670603464,314352.768319298,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"16",1985,246623.746674961,169919.15162453,323328.341725392,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"17",1986,275054.772600957,206955.503525254,343154.04167666,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"18",1987,290369.904389744,234806.078022672,345933.730756815,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"19",1988,314945.35475158,265220.156364175,364670.553138985,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"20",1989,250171.13492232,179966.6017987,320375.668045939,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"21",1990,267661.343302147,185283.444736599,350039.241867695,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"22",1991,255763.604814689,167657.239129032,343869.970500345,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"23",1992,302813.159674914,231071.930678733,374554.388671095,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"24",1993,257968.204068703,141251.891536691,374684.516600715,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"25",1994,246388.798614173,101004.002454081,391773.594774264,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"26",1995,155374.133359948,-96356.484768991,407104.751488888,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"27",1996,165841.498293138,-73659.7274116641,405342.723997941,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"28",1997,158859.512077551,-104652.099131444,422371.123286546,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"29",1998,153644.138492485,-132854.186732594,440142.463717564,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"30",1999,214937.029360768,-287.282329587702,430161.341051123,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"31",2000,248706.960785802,60414.0750058402,436999.846565764,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"32",2001,241100.241861484,29114.1114976361,453086.372225331,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"33",2002,139812.162596268,-220546.860152794,500171.185345331,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"34",2003,38596.7901399129,-461821.095737181,539014.676017007,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"35",2004,-648872.614696219,-2860966.90971718,1563221.68032474,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"36",2005,-36285.9070611212,-749777.351855731,677205.537733488,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"37",2006,-366214.651921996,-1752960.34048494,1020531.03664095,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"38",2007,-11915.8253787224,-743512.436727493,719680.785970048,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"39",2008,176102.495707793,-267112.511246829,619317.502662414,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"40",2009,105654.598111689,-492867.58958921,704176.785812589,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"41",2010,218110.850437733,-188388.14728248,624609.848157947,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
