"","retroYear","LRP","LRP_lwr","LRP_upr","BMmodel","LRPmodel","useGenMean","integratedModel"
"1",1967,178704.48502407,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"2",1968,203467.846109662,135233.082292187,271702.609927138,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"3",1969,225174.65214732,176357.987521743,273991.316772898,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"4",1970,203568.274110751,136079.030911651,271057.517309851,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"5",1971,182893.867789638,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"6",1972,212899.208585047,168757.804350699,257040.612819395,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"7",1973,185003.329011154,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"8",1974,184567.077118683,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"9",1975,211954.111590963,169533.909499062,254374.313682863,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"10",1976,293126.835262001,227951.709768362,358301.960755641,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"11",1977,303858.080288337,247443.357034727,360272.803541946,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"12",1978,320049.21674118,268318.040191307,371780.393291054,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"13",1979,314746.380736495,264321.943442862,365170.818030128,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"14",1980,314721.112965979,264397.793513418,365044.432418541,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"15",1981,328869.189971889,267763.717705015,389974.662238763,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"16",1982,353009.403966159,281728.546201392,424290.261730925,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"17",1983,349986.384530605,281555.980174836,418416.788886374,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"18",1984,331669.700892837,259561.74297202,403777.658813654,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"19",1985,349785.055012938,255698.601240214,443871.508785662,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"20",1986,397955.613340993,305284.326930584,490626.899751401,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"21",1987,413431.626891621,325297.331785317,501565.921997924,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"22",1988,445567.030201679,369837.822868214,521296.237535145,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"23",1989,370023.700471871,268009.506091621,472037.89485212,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"24",1990,421874.386880024,316435.654882704,527313.118877343,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"25",1991,412549.48703212,299698.004087531,525400.969976709,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"26",1992,471275.449952495,368654.511693443,573896.388211547,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"27",1993,439537.452605725,311348.121249299,567726.78396215,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"28",1994,407500.551821421,266121.134860255,548879.968782588,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"29",1995,386533.387891213,234096.675938208,538970.099844217,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"30",1996,365364.54518285,214251.428252865,516477.662112835,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"31",1997,370170.636152502,223051.118616591,517290.153688414,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"32",1998,382170.370893077,245208.559762589,519132.182023565,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
