"","retroYear","LRP","LRP_lwr","LRP_upr","BMmodel","LRPmodel","useGenMean","integratedModel"
"1",1967,738554.720037512,-336545.14745901,1813654.58753403,"Percentile","BinLogistic",FALSE,FALSE
"2",1968,598437.183352835,106603.190305408,1090271.17640026,"Percentile","BinLogistic",FALSE,FALSE
"3",1969,1370421.98923049,-4584593.92019998,7325437.89866096,"Percentile","BinLogistic",FALSE,FALSE
"4",1970,686970.628552667,177383.51772504,1196557.73938029,"Percentile","BinLogistic",FALSE,FALSE
"5",1971,1141142.21800503,-1283350.96057918,3565635.39658923,"Percentile","BinLogistic",FALSE,FALSE
"6",1972,677426.765393325,334340.624290503,1020512.90649615,"Percentile","BinLogistic",FALSE,FALSE
"7",1973,698627.613895951,425612.082996701,971643.1447952,"Percentile","BinLogistic",FALSE,FALSE
"8",1974,662437.040409809,469676.927715738,855197.153103881,"Percentile","BinLogistic",FALSE,FALSE
"9",1975,936911.778101142,347824.518952778,1525999.03724951,"Percentile","BinLogistic",FALSE,FALSE
"10",1976,1078289.65283204,28899.5805876802,2127679.72507641,"Percentile","BinLogistic",FALSE,FALSE
"11",1977,879228.758909718,415414.831274774,1343042.68654466,"Percentile","BinLogistic",FALSE,FALSE
"12",1978,1081101.68183832,13735.2280806147,2148468.13559602,"Percentile","BinLogistic",FALSE,FALSE
"13",1979,1027828.94685381,238721.601708206,1816936.2919994,"Percentile","BinLogistic",FALSE,FALSE
"14",1980,1064565.84812099,162191.208669721,1966940.48757226,"Percentile","BinLogistic",FALSE,FALSE
"15",1981,1072751.90214448,243166.99331262,1902336.81097635,"Percentile","BinLogistic",FALSE,FALSE
"16",1982,929538.217644264,439932.479660619,1419143.95562791,"Percentile","BinLogistic",FALSE,FALSE
"17",1983,1096576.1663949,340778.213063239,1852374.11972656,"Percentile","BinLogistic",FALSE,FALSE
"18",1984,1136877.25457225,293631.71956725,1980122.78957725,"Percentile","BinLogistic",FALSE,FALSE
"19",1985,1110448.36246575,461322.971072803,1759573.75385869,"Percentile","BinLogistic",FALSE,FALSE
"20",1986,1020064.56835251,575595.512740885,1464533.62396413,"Percentile","BinLogistic",FALSE,FALSE
"21",1987,1264013.60711182,460538.027678696,2067489.18654495,"Percentile","BinLogistic",FALSE,FALSE
"22",1988,1126226.72544143,619256.639049807,1633196.81183305,"Percentile","BinLogistic",FALSE,FALSE
"23",1989,1131883.52066727,646221.612099507,1617545.42923503,"Percentile","BinLogistic",FALSE,FALSE
"24",1990,1048529.0864841,669930.613457264,1427127.55951093,"Percentile","BinLogistic",FALSE,FALSE
"25",1991,1073433.59730024,693103.085487429,1453764.10911305,"Percentile","BinLogistic",FALSE,FALSE
"26",1992,1005267.68734091,702822.995791567,1307712.37889026,"Percentile","BinLogistic",FALSE,FALSE
"27",1993,1057190.58999366,723631.901780769,1390749.27820654,"Percentile","BinLogistic",FALSE,FALSE
"28",1994,1105011.17444399,717395.264750571,1492627.08413741,"Percentile","BinLogistic",FALSE,FALSE
"29",1995,1093383.86184849,755603.941165209,1431163.78253177,"Percentile","BinLogistic",FALSE,FALSE
"30",1996,1151202.5819024,723370.25830351,1579034.90550129,"Percentile","BinLogistic",FALSE,FALSE
"31",1997,1163099.12818195,733116.20146985,1593082.05489405,"Percentile","BinLogistic",FALSE,FALSE
"32",1998,1152310.25487554,719324.434317145,1585296.07543393,"Percentile","BinLogistic",FALSE,FALSE
"33",1999,1132414.74319713,750324.423968209,1514505.06242605,"Percentile","BinLogistic",FALSE,FALSE
"34",2000,1118165.89884328,743667.278618744,1492664.51906782,"Percentile","BinLogistic",FALSE,FALSE
"35",2001,1124226.62702563,749649.574422973,1498803.67962828,"Percentile","BinLogistic",FALSE,FALSE
"36",2002,1107381.15023108,747173.972996323,1467588.32746583,"Percentile","BinLogistic",FALSE,FALSE
"37",2003,1200430.36296675,765704.065823136,1635156.66011036,"Percentile","BinLogistic",FALSE,FALSE
"38",2004,1666600.69906678,533643.120875233,2799558.27725833,"Percentile","BinLogistic",FALSE,FALSE
"39",2005,1666926.08053131,670590.561551224,2663261.5995114,"Percentile","BinLogistic",FALSE,FALSE
"40",2006,1870041.72475272,476963.442956906,3263120.00654853,"Percentile","BinLogistic",FALSE,FALSE
"41",2007,1947515.71166039,493115.351555009,3401916.07176578,"Percentile","BinLogistic",FALSE,FALSE
"42",2008,1992123.82100907,399137.50013014,3585110.14188801,"Percentile","BinLogistic",FALSE,FALSE
"43",2009,2019698.86341841,423854.224608681,3615543.50222814,"Percentile","BinLogistic",FALSE,FALSE
"44",2010,2028886.13557211,384613.201062311,3673159.07008192,"Percentile","BinLogistic",FALSE,FALSE
"45",2011,2087329.9763532,393001.043695946,3781658.90901045,"Percentile","BinLogistic",FALSE,FALSE
"46",2012,1982161.03210939,519631.726236413,3444690.33798236,"Percentile","BinLogistic",FALSE,FALSE
"47",2013,2075169.55424216,497292.522263022,3653046.58622131,"Percentile","BinLogistic",FALSE,FALSE
"48",2014,2232599.37244868,329851.392480311,4135347.35241704,"Percentile","BinLogistic",FALSE,FALSE
"49",2015,2220165.56820636,503444.067125918,3936887.06928681,"Percentile","BinLogistic",FALSE,FALSE
"50",2016,2141657.90482796,639933.906181269,3643381.90347466,"Percentile","BinLogistic",FALSE,FALSE
"51",2017,2627207.04082997,65287.4278409118,5189126.65381904,"Percentile","BinLogistic",FALSE,FALSE
"52",2018,2758251.36305924,-197766.808996449,5714269.53511494,"Percentile","BinLogistic",FALSE,FALSE
