"","retroYear","LRP","LRP_lwr","LRP_upr","BMmodel","LRPmodel","useGenMean","integratedModel"
"1",1970,391229.721065917,349198.569090959,433260.873040876,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"2",1971,446389.193461433,392903.282381568,499875.104541298,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"3",1972,442252.781641679,391671.927176221,492833.636107137,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"4",1973,441003.459038475,391504.533837886,490502.384239064,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"5",1974,421038.457947222,370505.6344089,471571.281485543,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"6",1975,506813.109230368,446384.378836495,567241.839624241,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"7",1976,503310.985210289,444834.87317914,561787.097241437,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"8",1977,493310.920195162,438026.594507541,548595.245882782,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"9",1978,485051.558625298,432459.15042724,537643.966823357,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"10",1979,504373.008469842,452265.479198427,556480.537741258,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"11",1980,509707.200735192,457825.629619755,561588.771850628,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"12",1981,504774.203507835,454687.664451898,554860.742563771,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"13",1982,500164.088527887,451758.674251191,548569.502804582,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"14",1983,454280.057628226,414746.063684338,493814.051572113,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"15",1984,464880.68202742,425262.948066302,504498.415988537,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"16",1985,527086.078104557,478504.287663082,575667.868546032,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"17",1986,526117.552021308,478062.564029672,574172.540012945,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"18",1987,552203.84810592,501891.675260562,602516.020951277,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"19",1988,551395.439808224,501537.056265824,601253.823350623,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"20",1989,554520.163279265,505135.3041006,603905.022457931,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"21",1990,550428.05296721,502352.81123043,598503.294703989,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"22",1991,574186.668510723,525304.568900856,623068.76812059,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"23",1992,570800.014457011,522966.541525824,618633.487388198,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"24",1993,571839.178605593,523923.482861546,619754.87434964,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"25",1994,571521.718809598,523893.41720295,619150.020416247,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"26",1995,591605.9679931,542984.970841089,640226.965145111,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"27",1996,591386.897565624,543752.697015455,639021.098115793,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"28",1997,584770.756214634,538638.389670692,630903.122758576,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"29",1998,581918.292513882,536215.153685905,627621.431341858,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"30",1999,595653.934556835,550448.767988299,640859.101125372,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"31",2000,590757.151160995,546299.771997006,635214.530324985,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"32",2001,587443.384937839,543847.525892408,631039.243983271,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"33",2002,586314.96810114,543102.746176367,629527.190025914,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"34",2003,610522.138097291,565165.722399958,655878.553794623,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"35",2004,627789.541079123,578018.588306679,677560.493851566,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"36",2005,627641.406158101,577955.910370576,677326.901945626,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"37",2006,626810.473775077,577459.384603655,676161.562946499,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"38",2007,657152.044578527,604702.655225269,709601.433931786,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"39",2008,653548.215911709,602088.622563086,705007.809260332,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"40",2009,652021.848652539,601086.543472017,702957.153833061,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
"41",2010,648144.432236204,598246.535928901,698042.328543507,"LRP_Logistic_Only_LowAggPrior","BinLogistic",FALSE,FALSE
