"","retroYear","LRP","LRP_lwr","LRP_upr","BMmodel","LRPmodel","useGenMean","integratedModel"
"1",1967,530095.446603868,-1467021.00575716,2527211.8989649,"Percentile","BinLogistic",FALSE,FALSE
"2",1968,347680.183670951,199855.625521193,495504.741820708,"Percentile","BinLogistic",FALSE,FALSE
"3",1969,489467.575160584,-1017565.93744848,1996501.08776965,"Percentile","BinLogistic",FALSE,FALSE
"4",1970,407756.777161865,48502.3625728845,767011.191750845,"Percentile","BinLogistic",FALSE,FALSE
"5",1971,817043.071683065,-3866534.37683428,5500620.52020041,"Percentile","BinLogistic",FALSE,FALSE
"6",1972,437046.235616642,204420.504445697,669671.966787586,"Percentile","BinLogistic",FALSE,FALSE
"7",1973,434535.767488722,305376.190009242,563695.344968203,"Percentile","BinLogistic",FALSE,FALSE
"8",1974,418445.279880541,314777.077884322,522113.48187676,"Percentile","BinLogistic",FALSE,FALSE
"9",1975,485530.086007179,327479.006358443,643581.165655914,"Percentile","BinLogistic",FALSE,FALSE
"10",1976,511861.719690235,158394.545501903,865328.893878568,"Percentile","BinLogistic",FALSE,FALSE
"11",1977,495994.249736602,262425.444110981,729563.055362224,"Percentile","BinLogistic",FALSE,FALSE
"12",1978,526333.811363459,-139465.082724362,1192132.70545128,"Percentile","BinLogistic",FALSE,FALSE
"13",1979,571679.504982915,56085.7881775453,1087273.22178828,"Percentile","BinLogistic",FALSE,FALSE
"14",1980,513125.135943514,182365.830550429,843884.4413366,"Percentile","BinLogistic",FALSE,FALSE
"15",1981,545084.028824658,114494.553294648,975673.504354667,"Percentile","BinLogistic",FALSE,FALSE
"16",1982,482510.977260731,260532.039044389,704489.915477073,"Percentile","BinLogistic",FALSE,FALSE
"17",1983,543172.671132156,264624.429045914,821720.913218399,"Percentile","BinLogistic",FALSE,FALSE
"18",1984,509602.526631221,307298.705086079,711906.348176363,"Percentile","BinLogistic",FALSE,FALSE
"19",1985,511181.78279355,362053.159567204,660310.406019896,"Percentile","BinLogistic",FALSE,FALSE
"20",1986,491967.848493781,380688.608116592,603247.088870971,"Percentile","BinLogistic",FALSE,FALSE
"21",1987,549206.958373289,385936.81962899,712477.097117587,"Percentile","BinLogistic",FALSE,FALSE
"22",1988,527641.394334691,404304.323493446,650978.465175937,"Percentile","BinLogistic",FALSE,FALSE
"23",1989,528557.787484995,422375.771974307,634739.802995682,"Percentile","BinLogistic",FALSE,FALSE
"24",1990,514418.453634612,419457.51478915,609379.392480073,"Percentile","BinLogistic",FALSE,FALSE
"25",1991,535036.250269729,446313.391215759,623759.109323699,"Percentile","BinLogistic",FALSE,FALSE
"26",1992,523872.926815891,443626.255218211,604119.59841357,"Percentile","BinLogistic",FALSE,FALSE
"27",1993,538449.424184932,451542.797144199,625356.051225666,"Percentile","BinLogistic",FALSE,FALSE
"28",1994,536125.522392646,446583.557229923,625667.487555369,"Percentile","BinLogistic",FALSE,FALSE
"29",1995,547851.171724388,467735.751141049,627966.592307727,"Percentile","BinLogistic",FALSE,FALSE
"30",1996,541488.201050262,459737.730188956,623238.671911569,"Percentile","BinLogistic",FALSE,FALSE
"31",1997,546023.796212812,466149.35228414,625898.240141485,"Percentile","BinLogistic",FALSE,FALSE
"32",1998,536327.230510533,460480.738312487,612173.722708578,"Percentile","BinLogistic",FALSE,FALSE
"33",1999,551072.565333737,478607.145126408,623537.985541065,"Percentile","BinLogistic",FALSE,FALSE
"34",2000,552202.191671968,473985.932727886,630418.45061605,"Percentile","BinLogistic",FALSE,FALSE
"35",2001,549713.597121817,476843.07498794,622584.119255694,"Percentile","BinLogistic",FALSE,FALSE
"36",2002,543492.037955543,475499.433527943,611484.642383143,"Percentile","BinLogistic",FALSE,FALSE
"37",2003,573141.971255735,490053.711263481,656230.231247988,"Percentile","BinLogistic",FALSE,FALSE
"38",2004,613610.163844291,464543.724027009,762676.603661573,"Percentile","BinLogistic",FALSE,FALSE
"39",2005,639225.516500579,473174.408464103,805276.624537055,"Percentile","BinLogistic",FALSE,FALSE
"40",2006,635137.760797379,461402.172244727,808873.349350031,"Percentile","BinLogistic",FALSE,FALSE
"41",2007,674698.508669874,492445.368512276,856951.648827473,"Percentile","BinLogistic",FALSE,FALSE
"42",2008,661057.648403187,483500.268707188,838615.028099187,"Percentile","BinLogistic",FALSE,FALSE
"43",2009,677019.237390854,489547.898355713,864490.576425996,"Percentile","BinLogistic",FALSE,FALSE
"44",2010,664703.946230914,480274.547739772,849133.344722057,"Percentile","BinLogistic",FALSE,FALSE
"45",2011,701459.054330188,506874.992769731,896043.115890644,"Percentile","BinLogistic",FALSE,FALSE
"46",2012,688753.59880349,501893.947768785,875613.249838195,"Percentile","BinLogistic",FALSE,FALSE
"47",2013,716293.53890675,499012.0175749,933575.0602386,"Percentile","BinLogistic",FALSE,FALSE
"48",2014,725190.396172836,460864.282777501,989516.509568171,"Percentile","BinLogistic",FALSE,FALSE
"49",2015,787747.411267335,479799.966271142,1095694.85626353,"Percentile","BinLogistic",FALSE,FALSE
"50",2016,766088.840084449,488929.386304554,1043248.29386434,"Percentile","BinLogistic",FALSE,FALSE
"51",2017,794629.941749294,482194.041100114,1107065.84239847,"Percentile","BinLogistic",FALSE,FALSE
"52",2018,804446.0730716,407729.670356717,1201162.47578648,"Percentile","BinLogistic",FALSE,FALSE
