"","retroYear","LRP","LRP_lwr","LRP_upr","BMmodel","LRPmodel","useGenMean","integratedModel"
"1",1967,324420.566969877,284154.041660313,364687.092279441,"Percentile","BinLogistic",FALSE,FALSE
"2",1968,320807.082305411,289359.016683002,352255.147927821,"Percentile","BinLogistic",FALSE,FALSE
"3",1969,291113.473619787,150899.193561664,431327.753677911,"Percentile","BinLogistic",FALSE,FALSE
"4",1970,301960.602899041,210055.416118402,393865.789679679,"Percentile","BinLogistic",FALSE,FALSE
"5",1971,310678.066284455,121637.180331351,499718.952237558,"Percentile","BinLogistic",FALSE,FALSE
"6",1972,319614.470260614,197261.663776783,441967.276744446,"Percentile","BinLogistic",FALSE,FALSE
"7",1973,325718.485720227,228900.181334391,422536.790106062,"Percentile","BinLogistic",FALSE,FALSE
"8",1974,295003.400409245,142006.845916236,447999.954902253,"Percentile","BinLogistic",FALSE,FALSE
"9",1975,299802.077580312,344.273554883548,599259.88160574,"Percentile","BinLogistic",FALSE,FALSE
"10",1976,236809.132094891,-214702.438818481,688320.703008263,"Percentile","BinLogistic",FALSE,FALSE
"11",1977,221342.296259276,-214921.753605008,657606.346123559,"Percentile","BinLogistic",FALSE,FALSE
"12",1978,227552.69300118,-140965.808795847,596071.194798206,"Percentile","BinLogistic",FALSE,FALSE
"13",1979,282414.2151752,-35203.1848941811,600031.615244581,"Percentile","BinLogistic",FALSE,FALSE
"14",1980,107237.407034464,-884390.053453624,1098864.86752255,"Percentile","BinLogistic",FALSE,FALSE
"15",1981,117463.00885836,-714626.488695385,949552.506412105,"Percentile","BinLogistic",FALSE,FALSE
"16",1982,189747.406698133,-299874.379623209,679369.193019474,"Percentile","BinLogistic",FALSE,FALSE
"17",1983,330027.988870294,88522.2496764737,571533.728064114,"Percentile","BinLogistic",FALSE,FALSE
"18",1984,345076.489233764,159395.106633486,530757.871834042,"Percentile","BinLogistic",FALSE,FALSE
"19",1985,356505.752099852,203853.568880611,509157.935319094,"Percentile","BinLogistic",FALSE,FALSE
"20",1986,325744.296869127,128386.857783077,523101.735955176,"Percentile","BinLogistic",FALSE,FALSE
"21",1987,363393.649002052,156056.632672712,570730.665331392,"Percentile","BinLogistic",FALSE,FALSE
"22",1988,374801.648524251,201208.919368092,548394.37768041,"Percentile","BinLogistic",FALSE,FALSE
"23",1989,360844.403273448,165514.831694598,556173.974852298,"Percentile","BinLogistic",FALSE,FALSE
"24",1990,359748.102826332,166302.98102951,553193.224623154,"Percentile","BinLogistic",FALSE,FALSE
"25",1991,406541.919363249,230097.378827731,582986.459898766,"Percentile","BinLogistic",FALSE,FALSE
"26",1992,379602.025610932,173724.627963747,585479.423258116,"Percentile","BinLogistic",FALSE,FALSE
"27",1993,372219.211925708,166698.884085002,577739.539766414,"Percentile","BinLogistic",FALSE,FALSE
"28",1994,381724.811304367,202619.13108932,560830.491519413,"Percentile","BinLogistic",FALSE,FALSE
"29",1995,423432.849166927,264360.595359279,582505.102974576,"Percentile","BinLogistic",FALSE,FALSE
"30",1996,418573.2559567,266050.322565551,571096.189347848,"Percentile","BinLogistic",FALSE,FALSE
"31",1997,417044.85814664,275981.625881995,558108.090411284,"Percentile","BinLogistic",FALSE,FALSE
"32",1998,407586.654116952,265715.803437252,549457.504796652,"Percentile","BinLogistic",FALSE,FALSE
