"","CU_Name","Year","GroupEsc","SumRawEsc"
"1","1 - Southern Coastal Streams","1953",28327.8387959321,27075
"2","1 - Southern Coastal Streams","1954",49645.6491548284,47450
"3","1 - Southern Coastal Streams","1955",23599.791397259,22600
"4","1 - Southern Coastal Streams","1956",28481.8366583275,26325
"5","1 - Southern Coastal Streams","1957",31055.2932322852,27350
"6","1 - Southern Coastal Streams","1958",50017.2729517219,46025
"7","1 - Southern Coastal Streams","1959",8703.83984256953,7575
"8","1 - Southern Coastal Streams","1960",9643.99291747836,8275
"9","1 - Southern Coastal Streams","1961",14969.7750019182,11150
"10","1 - Southern Coastal Streams","1962",9778.41748061344,8375
"11","1 - Southern Coastal Streams","1963",15162.6045104964,8700
"12","1 - Southern Coastal Streams","1964",7297.32647806973,6250
"13","1 - Southern Coastal Streams","1965",2063.69032783164,1725
"14","1 - Southern Coastal Streams","1966",16042.8147436808,14025
"15","1 - Southern Coastal Streams","1967",18203.5019105509,14750
"16","1 - Southern Coastal Streams","1968",10717.6832418854,9100
"17","1 - Southern Coastal Streams","1969",16141.3865666824,13000
"18","1 - Southern Coastal Streams","1970",19676.2045275359,16275
"19","1 - Southern Coastal Streams","1971",10194.8688709566,6525
"20","1 - Southern Coastal Streams","1972",18654.4342143181,15775
"21","1 - Southern Coastal Streams","1973",47325.7421011778,41125
"22","1 - Southern Coastal Streams","1974",26076.4466410249,22731
"23","1 - Southern Coastal Streams","1975",14258.1073480494,12025
"24","1 - Southern Coastal Streams","1976",19911.1828299548,16650
"25","1 - Southern Coastal Streams","1977",48245.5595395283,40350
"26","1 - Southern Coastal Streams","1978",41263.6538067287,34215
"27","1 - Southern Coastal Streams","1979",5492.05310727928,3225
"28","1 - Southern Coastal Streams","1980",6604.64735009243,5675
"29","1 - Southern Coastal Streams","1981",15430.8503126222,12860
"30","1 - Southern Coastal Streams","1982",18736.8359022288,16120
"31","1 - Southern Coastal Streams","1983",10173.9780762988,8532
"32","1 - Southern Coastal Streams","1984",14948.5866589977,12338
"33","1 - Southern Coastal Streams","1985",12891.8748610537,11195
"34","1 - Southern Coastal Streams","1986",3088.52907075632,2615
"35","1 - Southern Coastal Streams","1987",4112.85951511203,3593
"36","1 - Southern Coastal Streams","1988",16831.2888048017,14100
"37","1 - Southern Coastal Streams","1989",3253.46059655816,2650
"38","1 - Southern Coastal Streams","1990",1323.14056608325,200
"39","1 - Southern Coastal Streams","1991",3750.68444318546,2424
"40","1 - Southern Coastal Streams","1992",1209.61337407692,618
"41","1 - Southern Coastal Streams","1993",3851.72746911531,1923
"42","1 - Southern Coastal Streams","1994",7052.05244217087,2238
"43","1 - Southern Coastal Streams","1995",2615.06204331541,1407
"44","1 - Southern Coastal Streams","1996",6814.92326951915,2630
"45","1 - Southern Coastal Streams","1997",277.953725625295,75
"46","1 - Southern Coastal Streams","1998",5979.74163942785,2525
"47","1 - Southern Coastal Streams","1999",237.32326352237,53
"48","1 - Southern Coastal Streams","2000",1424.27511343219,452
"49","1 - Southern Coastal Streams","2001",1698.66087777258,816
"50","1 - Southern Coastal Streams","2002",1860.92117730188,467
"51","1 - Southern Coastal Streams","2003",625.868621259888,193
"52","1 - Southern Coastal Streams","2004",2693.75687091595,490
"53","1 - Southern Coastal Streams","2005",1343.79061025437,327
"54","1 - Southern Coastal Streams","2006",5018.01162596178,1246
"55","1 - Southern Coastal Streams","2007",148.923527542856,27
