"","Year","CU","Escape"
"1",1953,"SCS",28327.8387959321
"2",1954,"SCS",49645.6491548284
"3",1955,"SCS",23599.791397259
"4",1956,"SCS",28481.8366583275
"5",1957,"SCS",31055.2932322852
"6",1958,"SCS",50017.2729517219
"7",1959,"SCS",8703.83984256953
"8",1960,"SCS",9643.99291747836
"9",1961,"SCS",14969.7750019182
"10",1962,"SCS",9778.41748061344
"11",1963,"SCS",15162.6045104964
"12",1964,"SCS",7297.32647806973
"13",1965,"SCS",2063.69032783164
"14",1966,"SCS",16042.8147436808
"15",1967,"SCS",18203.5019105509
"16",1968,"SCS",10717.6832418854
"17",1969,"SCS",16141.3865666824
"18",1970,"SCS",19676.2045275359
"19",1971,"SCS",10194.8688709566
"20",1972,"SCS",18654.4342143181
"21",1973,"SCS",47325.7421011778
"22",1974,"SCS",26076.4466410249
"23",1975,"SCS",14258.1073480494
"24",1976,"SCS",19911.1828299548
"25",1977,"SCS",48245.5595395283
"26",1978,"SCS",41263.6538067287
"27",1979,"SCS",5492.05310727928
"28",1980,"SCS",6604.64735009243
"29",1981,"SCS",15430.8503126222
"30",1982,"SCS",18736.8359022288
"31",1983,"SCS",10173.9780762988
"32",1984,"SCS",14948.5866589977
"33",1985,"SCS",12891.8748610537
"34",1986,"SCS",3088.52907075632
"35",1987,"SCS",4112.85951511203
"36",1988,"SCS",16831.2888048017
"37",1989,"SCS",3253.46059655816
"38",1990,"SCS",1323.14056608325
"39",1991,"SCS",3750.68444318546
"40",1992,"SCS",1209.61337407692
"41",1993,"SCS",3851.72746911531
"42",1994,"SCS",7052.05244217087
"43",1995,"SCS",2615.06204331541
"44",1996,"SCS",6814.92326951915
"45",1997,"SCS",277.953725625295
"46",1998,"SCS",5979.74163942785
"47",1999,"SCS",237.32326352237
"48",2000,"SCS",1424.27511343219
"49",2001,"SCS",1698.66087777258
"50",2002,"SCS",1860.92117730188
"51",2003,"SCS",625.868621259888
"52",2004,"SCS",2693.75687091595
"53",2005,"SCS",1343.79061025437
"54",2006,"SCS",5018.01162596178
"55",2007,"SCS",148.923527542856
"56",2008,"SCS",363.413195443065
"57",2009,"SCS",909.183046269921
