"Year","CU","Escape","CUinfill","Return","Age3","Age4","Age5","Age6","Recruit"
1953,"1 - Southern Coastal Streams",28327.8387959321,FALSE,0,NA,NA,NA,NA,NA
1954,"1 - Southern Coastal Streams",49645.6491548284,FALSE,55722.657213679,NA,NA,NA,NA,NA
1955,"1 - Southern Coastal Streams",23599.791397259,FALSE,26063.5364565745,NA,NA,NA,NA,29622.7934562772
1956,"1 - Southern Coastal Streams",28481.8366583275,FALSE,32384.3653480545,NA,NA,NA,NA,9847.81238431277
1957,"1 - Southern Coastal Streams",31055.2932322852,FALSE,32759.247148985,NA,NA,NA,NA,18205.2339843103
1958,"1 - Southern Coastal Streams",50017.2729517219,FALSE,53963.8318613527,0.434782609,0.565217391,0,0,3749.47923457599
1959,"1 - Southern Coastal Streams",8703.83984256953,FALSE,9386.64441396059,0.332003384,0.645675951,0.022320665,0,18402.9160625951
1960,"1 - Southern Coastal Streams",9643.99291747836,FALSE,10670.4180443511,0.38852246,0.602150137,0.009327403,0,11384.9389709755
1961,"1 - Southern Coastal Streams",14969.7750019182,FALSE,15964.0142615238,0.110520263,0.870297783,0.019181954,0,3249.93555065483
1962,"1 - Southern Coastal Streams",9778.41748061344,FALSE,10033.3927662035,0.793783478,0.18966273,0.016553792,0,14438.6899398914
1963,"1 - Southern Coastal Streams",15162.6045104964,FALSE,16073.165030082,0.348690017,0.646197641,0.005112342,0,9316.77040094385
1964,"1 - Southern Coastal Streams",7297.32647806973,FALSE,7499.22835459296,0.228833951,0.764214223,0.006951826,0,21706.6872495622
1965,"1 - Southern Coastal Streams",2063.69032783164,FALSE,2089.38767283557,0.357271453,0.619099703,0.023628843,0,10697.1098789628
1966,"1 - Southern Coastal Streams",16042.8147436808,FALSE,16190.5192806685,0.155156647,0.830000209,0.014843144,0,27859.3732441553
1967,"1 - Southern Coastal Streams",18203.5019105509,FALSE,18749.4789824712,0.626558615,0.359890236,0.013551149,0,7199.86345279022
1968,"1 - Southern Coastal Streams",10717.6832418854,FALSE,11288.0933805146,0.167854993,0.827099929,0.005045077,0,31467.6140356709
1969,"1 - Southern Coastal Streams",16141.3865666824,FALSE,16958.5648148412,0.455814611,0.507468931,0.036716458,0,50280.5612386474
1970,"1 - Southern Coastal Streams",19676.2045275359,FALSE,20965.0521463849,0.085277353,0.905354568,0.00936808,0,16213.5785321591
1971,"1 - Southern Coastal Streams",10194.8688709566,FALSE,10582.3317947396,0.415203238,0.4762568,0.108539962,0,12053.3850231596
1972,"1 - Southern Coastal Streams",18654.4342143181,FALSE,20175.8142527811,0.071381929,0.910174611,0.01844346,0,27813.1264854942
1973,"1 - Southern Coastal Streams",47325.7421011778,FALSE,51982.308200385,0.026375264,0.807845091,0.165779645,0,40731.014351019
1974,"1 - Southern Coastal Streams",26076.4466410249,FALSE,26856.0991115051,0.207801318,0.533806974,0.254940979,0.003450729,49885.3675566489
1975,"1 - Southern Coastal Streams",14258.1073480494,FALSE,15253.7886428303,0.563003677,0.403787627,0.033208696,0,9040.59329138713
1976,"1 - Southern Coastal Streams",19911.1828299548,FALSE,21654.6310486618,0.148130862,0.837398279,0.014470859,0,7996.56504050558
1977,"1 - Southern Coastal Streams",48245.5595395283,FALSE,49230.4779864059,0.234392947,0.743433053,0.022174,0,15962.2762623488
1978,"1 - Southern Coastal Streams",41263.6538067287,FALSE,44710.4325870749,0.142596397,0.836743309,0.020660293,0,19712.7799845825
1979,"1 - Southern Coastal Streams",5492.05310727928,FALSE,5575.84509164634,0.363502131,0.468821864,0.167676005,0,10415.0830840846
1980,"1 - Southern Coastal Streams",6604.64735009243,FALSE,6941.28886219942,0.282814359,0.709842824,0.007342816,0,9033.97099852923
1981,"1 - Southern Coastal Streams",15430.8503126222,FALSE,15550.351591746,0.138790193,0.794168918,0.067040888,0,15647.3120635834
1982,"1 - Southern Coastal Streams",18736.8359022288,FALSE,20413.8895563342,0.194338101,0.725085861,0.080576039,0,8109.79486417739
1983,"1 - Southern Coastal Streams",10173.9780762988,FALSE,10303.4921826767,0.17545752,0.559505096,0.264580855,0.000456529,6006.86541731282
1984,"1 - Southern Coastal Streams",14948.5866589977,FALSE,15012.0988408984,0.492194218,0.460534284,0.045498646,0.001772852,15489.9466362733
1985,"1 - Southern Coastal Streams",12891.8748610537,FALSE,13162.4124650511,0.370820705,0.605432917,0.023746378,0,3476.62527438601
1986,"1 - Southern Coastal Streams",3088.52907075632,FALSE,3270.04894198728,0.112026474,0.799713213,0.088260313,0,3308.8195140612
1987,"1 - Southern Coastal Streams",4112.85951511203,FALSE,4153.03752561906,0.107184036,0.760114635,0.132491723,0.000209605,1894.08888218442
1988,"1 - Southern Coastal Streams",16831.2888048017,FALSE,17922.6104148612,0.067719023,0.793794816,0.137845503,0.003546099,2740.26149847051
1989,"1 - Southern Coastal Streams",3253.46059655816,FALSE,3418.6713001149,0.121743489,0.635453626,0.238942462,0.003860422,4833.95177640879
1990,"1 - Southern Coastal Streams",1323.14056608325,FALSE,1415.24487547562,0.011478832,0.92783509,0.059932613,0.000753466,5631.13510848764
1991,"1 - Southern Coastal Streams",3750.68444318546,FALSE,3834.64344902295,0.130959458,0.45693836,0.410616461,0.001485721,2889.4460903233
1992,"1 - Southern Coastal Streams",1209.61337407692,FALSE,1304.36244619838,0.037362136,0.877477468,0.081375433,0.003784963,5276.3821911641
1993,"1 - Southern Coastal Streams",3851.72746911531,FALSE,4078.00428072002,0.044506774,0.699309101,0.251401203,0.004782922,2183.82551418419
1994,"1 - Southern Coastal Streams",7052.05244217087,FALSE,7534.22858768042,0.097864748,0.64105794,0.252010048,0.009067263,5256.70647766938
1995,"1 - Southern Coastal Streams",2615.06204331541,FALSE,2725.47199556843,0.202224658,0.575100681,0.209931475,0.012743185,1013.1315610692
1996,"1 - Southern Coastal Streams",6814.92326951915,FALSE,6988.81944437709,0.236010961,0.673546814,0.083631793,0.006810432,1327.049018242
1997,"1 - Southern Coastal Streams",277.953725625295,FALSE,282.374649600326,0.136149443,0.816562034,0.046408017,0.000716801,1573.93178956995
1998,"1 - Southern Coastal Streams",5979.74163942785,FALSE,6235.14885948123,0.12256204,0.828015044,0.048649393,0.000773523,1815.99260956669
1999,"1 - Southern Coastal Streams",237.32326352237,FALSE,240.185795664577,0.125920036,0.670742577,0.201360187,0.0019772,1601.25080318768
2000,"1 - Southern Coastal Streams",1424.27511343219,FALSE,1488.33422299513,0.098899426,0.837313443,0.05901642,0.004770711,1946.58939349372
2001,"1 - Southern Coastal Streams",1698.66087777258,FALSE,1727.0500612831,0.283833921,0.686866081,0.029299997,0,1708.9517050767
2002,"1 - Southern Coastal Streams",1860.92117730188,FALSE,1907.58043769192,0.199157059,0.675227201,0.125615739,0,4370.56183281245
2003,"1 - Southern Coastal Streams",625.868621259888,FALSE,649.226229301753,0.103552054,0.849815148,0.045304824,0.001327974,1062.56607845304
2004,"1 - Southern Coastal Streams",2693.75687091595,FALSE,2816.87134694812,0.16331283,0.605765883,0.230921287,0.00295858,227.538601333534
2005,"1 - Southern Coastal Streams",1343.79061025437,FALSE,1409.17373061983,0.130621709,0.733028191,0.122764228,0.013585871,1117.99026976001
2006,"1 - Southern Coastal Streams",5018.01162596178,FALSE,5267.22934389534,0.167,0.792,0.041,0,455.948408633242
2007,"1 - Southern Coastal Streams",148.923527542856,FALSE,150.202282975082,0.04040404,0.863636364,0.095959596,0,5315.24628022606
2008,"1 - Southern Coastal Streams",363.413195443065,FALSE,370.642581535496,0.395008918,0.466461382,0.137358326,0.001171374,1345.96385843317
2009,"1 - Southern Coastal Streams",909.183046269921,FALSE,928.007775977145,0.037342421,0.907822746,0.052348022,0.002486811,4557.04235525242
2010,"1 - Southern Coastal Streams",591.055952003988,FALSE,597.345495851823,0.2275281,0.562395504,0.210076396,0,2089.82878046383
2011,"1 - Southern Coastal Streams",4684.74263441833,FALSE,4851.59067898759,0.017723127,0.963936844,0.017592154,0.000747876,3455.65281846125
