"year","ppn","Agg_Escp"
1958,1,757443.835303093
1959,1,596054.488027787
1960,0,300250.032324519
1961,0,310310.356351793
1962,0,329336.729570763
1963,0,281107.98178569
1964,0,373188.300885328
1965,0,178930.992322501
1966,0,435963.120058855
1967,0,359008.442071988
1968,1,753268.234778181
1969,0,448113.390083912
1970,0,594742.543902009
1971,0,238308.373665587
1972,1,1038115.94061768
1973,1,896544.304725287
1974,0,584364.176171105
1975,0,305501.363485238
1976,0,364351.945589805
1977,0,632905.990754192
1978,0,664526.605466568
1979,0,263600.411638761
1980,0,745590.342311895
1981,0,589756.408616646
1982,1,673337.093967376
1983,0,499978.888549486
1984,0,700519.274592888
1985,1,1173545.42242605
1986,1,723670.271342555
1987,0,625494.314755409
1988,1,803469.592465382
1989,0,310586.853207483
1990,1,787270.898603482
1991,0,669648.023957131
1992,1,862351.103998343
1993,1,804325.865139044
1994,0,846670.636024324
1995,0,427367.849744564
1996,0,467132.737429563
1997,0,644667.02241545
1998,1,836632.815908357
1999,0,352288.092547882
2000,0,462499.482246303
2001,1,1213420.66331245
2002,1,1284063.79869236
2003,0,1239529.83750653
2004,0,1923531.53680902
2005,0,782517.299009661
2006,0,495103.083268071
2007,0,1159462.97062238
2008,0,858475.189764261
2009,0,1130476.7006213
2010,0,507708.030641461
2011,1,878472.078468353
2012,0,1672579.32779957
2013,0,1693114.22441583
2014,0,795584.992389826
2015,0,846414.165565684
2016,0,2299254.32702322
2017,0,813339.453304671
2018,0,633568.689645454
