"CU_Name","NME","Area","SummerRun","Rabcode"
"1 - Southern Coastal Streams","AHTA RIVER",12,TRUE,"90-6210"
"1 - Southern Coastal Streams","AHTA VALLEY CREEK",12,TRUE,"90-6215"
"1 - Southern Coastal Streams","ALLARDYCE CREEK",12,FALSE,"90-6400-100"
"1 - Southern Coastal Streams","BUGHOUSE CREEK",12,TRUE,"90-7400"
"1 - Southern Coastal Streams","CHARLES CREEK",12,FALSE,"90-6600"
"1 - Southern Coastal Streams","COHOE CREEK",12,TRUE,"90-7840"
"1 - Southern Coastal Streams","DRIFTWOOD CREEK",11,FALSE,"90-9500"
"1 - Southern Coastal Streams","EMBLEY CREEK",12,FALSE,"90-7200"
"1 - Southern Coastal Streams","GILFORD CREEK",12,FALSE,"90-6300-250"
"1 - Southern Coastal Streams","HAUSKIN CREEK",12,FALSE,"90-7480"
"1 - Southern Coastal Streams","HOEYA HEAD CREEK",12,FALSE,"90-5898"
"1 - Southern Coastal Streams","HOEYA SOUND CREEK",12,FALSE,"90-5900"
"1 - Southern Coastal Streams","JENNIS BAY CREEK",12,FALSE,"90-7420"
"1 - Southern Coastal Streams","KAKWEIKEN RIVER",12,TRUE,"90-6100"
"1 - Southern Coastal Streams","KENNETH RIVER",12,FALSE,"90-7800"
"1 - Southern Coastal Streams","KINGCOME RIVER",12,TRUE,"90-6500"
"1 - Southern Coastal Streams","LULL CREEK",12,FALSE,"90-6000"
"1 - Southern Coastal Streams","MACKENZIE RIVER",12,FALSE,"90-7100"
"1 - Southern Coastal Streams","MAPLE CREEK",12,FALSE,"90-6300-300"
"1 - Southern Coastal Streams","MARION CREEK",12,FALSE,"90-7500"
"1 - Southern Coastal Streams","MATSIU CREEK",12,FALSE,"90-5800"
"1 - Southern Coastal Streams","MCALISTER CREEK",12,FALSE,"90-6090"
"1 - Southern Coastal Streams","NIMMO CREEK",12,FALSE,"90-7115"
"1 - Southern Coastal Streams","SCOTT COVE CREEK",12,FALSE,"90-6300-370"
"1 - Southern Coastal Streams","SHELTER BAY CREEK",12,FALSE,"90-7910"
"1 - Southern Coastal Streams","SHOAL HARBOUR CREEK",12,FALSE,"90-6300-340"
"1 - Southern Coastal Streams","SIMOOM SOUND CREEK",12,FALSE,"90-6350"
"1 - Southern Coastal Streams","VINER SOUND CREEK",12,TRUE,"90-6300-400"
"1 - Southern Coastal Streams","WAHKANA BAY CREEK",12,FALSE,"90-6300-470"
"1 - Southern Coastal Streams","WAKEMAN RIVER",12,TRUE,"90-6900"
"1 - Southern Coastal Streams","WALDON CREEK",12,FALSE,"90-4800-650"
"2 - North East Vancouver Island","ADAM RIVER",12,FALSE,"92-1600"
"2 - North East Vancouver Island","AMOR DE COSMOS CREEK",13,FALSE,"92-1800"
"2 - North East Vancouver Island","CLUXEWE RIVER",12,FALSE,"92-1100"
"2 - North East Vancouver Island","HYDE CREEK",12,FALSE,"92-1280"
"2 - North East Vancouver Island","KEOGH RIVER",12,FALSE,"92-1000"
"2 - North East Vancouver Island","KOKISH RIVER",12,FALSE,"92-1400"
"2 - North East Vancouver Island","MILLS CREEK",12,FALSE,"92-1210"
"2 - North East Vancouver Island","NAHWITTI RIVER",12,FALSE,"92-0300"
"2 - North East Vancouver Island","NIMPKISH RIVER",12,FALSE,"92-1300"
"2 - North East Vancouver Island","PYE CREEK",13,FALSE,"92-1900"
"2 - North East Vancouver Island","QUATSE RIVER",12,FALSE,"92-0900"
"2 - North East Vancouver Island","SALMON RIVER",13,FALSE,"92-1700"
"2 - North East Vancouver Island","SHUSHARTIE RIVER",12,FALSE,"92-0500"
"2 - North East Vancouver Island","SONGHEES CREEK",12,FALSE,"92-0700"
"2 - North East Vancouver Island","STRANBY RIVER",12,FALSE,"92-0200"
"2 - North East Vancouver Island","TSITIKA RIVER",12,FALSE,"92-1500"
"2 - North East Vancouver Island","TSULQUATE RIVER",12,FALSE,"92-0800"
"3 - Upper Knight","AHNUHATI RIVER",12,TRUE,"90-5500"
"3 - Upper Knight","FRANKLIN RIVER",12,FALSE,"90-5200"
"3 - Upper Knight","KLINAKLINI RIVER",12,FALSE,"90-5300"
"3 - Upper Knight","KWALATE CREEK",12,TRUE,"90-5600"
"3 - Upper Knight","SIM RIVER",12,FALSE,"90-5400"
"4 - Loughborough","APPLE RIVER",13,FALSE,"90-4100"
"4 - Loughborough","BACHUS CREEK",13,FALSE,"29-4460"
"4 - Loughborough","BOUGHEY CREEK",12,FALSE,"90-4700"
"4 - Loughborough","CALL CREEK",12,FALSE,"90-4820"
