"","CU","Year","Nobs","Ninfilled"
"1","1 - Southern Coastal Streams","1953",18,5
"2","1 - Southern Coastal Streams","1954",18,5
"3","1 - Southern Coastal Streams","1955",19,4
"4","1 - Southern Coastal Streams","1956",16,7
"5","1 - Southern Coastal Streams","1957",13,10
"6","1 - Southern Coastal Streams","1958",14,9
"7","1 - Southern Coastal Streams","1959",10,13
"8","1 - Southern Coastal Streams","1960",10,13
"9","1 - Southern Coastal Streams","1961",12,11
"10","1 - Southern Coastal Streams","1962",10,13
"11","1 - Southern Coastal Streams","1963",8,15
"12","1 - Southern Coastal Streams","1964",10,13
"13","1 - Southern Coastal Streams","1965",9,14
"14","1 - Southern Coastal Streams","1966",12,11
"15","1 - Southern Coastal Streams","1967",7,16
"16","1 - Southern Coastal Streams","1968",9,14
"17","1 - Southern Coastal Streams","1969",7,16
"18","1 - Southern Coastal Streams","1970",8,15
"19","1 - Southern Coastal Streams","1971",5,18
"20","1 - Southern Coastal Streams","1972",11,12
"21","1 - Southern Coastal Streams","1973",11,12
"22","1 - Southern Coastal Streams","1974",12,11
"23","1 - Southern Coastal Streams","1975",9,14
"24","1 - Southern Coastal Streams","1976",9,14
"25","1 - Southern Coastal Streams","1977",8,15
"26","1 - Southern Coastal Streams","1978",8,15
"27","1 - Southern Coastal Streams","1979",8,15
"28","1 - Southern Coastal Streams","1980",10,13
"29","1 - Southern Coastal Streams","1981",8,15
"30","1 - Southern Coastal Streams","1982",12,11
"31","1 - Southern Coastal Streams","1983",10,13
"32","1 - Southern Coastal Streams","1984",8,15
"33","1 - Southern Coastal Streams","1985",11,12
"34","1 - Southern Coastal Streams","1986",12,11
"35","1 - Southern Coastal Streams","1987",10,13
"36","1 - Southern Coastal Streams","1988",8,15
"37","1 - Southern Coastal Streams","1989",6,17
"38","1 - Southern Coastal Streams","1990",1,22
"39","1 - Southern Coastal Streams","1991",5,18
"40","1 - Southern Coastal Streams","1992",5,18
"41","1 - Southern Coastal Streams","1993",5,18
"42","1 - Southern Coastal Streams","1994",3,20
"43","1 - Southern Coastal Streams","1995",7,16
"44","1 - Southern Coastal Streams","1996",7,16
"45","1 - Southern Coastal Streams","1997",3,20
"46","1 - Southern Coastal Streams","1998",8,15
"47","1 - Southern Coastal Streams","1999",3,20
"48","1 - Southern Coastal Streams","2000",3,20
"49","1 - Southern Coastal Streams","2001",3,20
"50","1 - Southern Coastal Streams","2002",1,22
"51","1 - Southern Coastal Streams","2003",2,21
"52","1 - Southern Coastal Streams","2004",2,21
"53","1 - Southern Coastal Streams","2005",4,19
"54","1 - Southern Coastal Streams","2006",4,19
"55","1 - Southern Coastal Streams","2007",2,21
"56","1 - Southern Coastal Streams","2008",4,19
"57","1 - Southern Coastal Streams","2009",6,17
"58","1 - Southern Coastal Streams","2010",5,18
"59","1 - Southern Coastal Streams","2011",1,22
"60","1 - Southern Coastal Streams","2012",3,20
"61","1 - Southern Coastal Streams","2013",3,20
"62","1 - Southern Coastal Streams","2014",4,19
"63","1 - Southern Coastal Streams","2015",4,19
"64","1 - Southern Coastal Streams","2016",4,19
"65","1 - Southern Coastal Streams","2017",4,19
"66","1 - Southern Coastal Streams","2018",5,18
"67","2 - North East Vancouver Island","1953",12,5
"68","2 - North East Vancouver Island","1954",15,2
"69","2 - North East Vancouver Island","1955",14,3
"70","2 - North East Vancouver Island","1956",15,2
"71","2 - North East Vancouver Island","1957",15,2
"72","2 - North East Vancouver Island","1958",16,1
"73","2 - North East Vancouver Island","1959",15,2
"74","2 - North East Vancouver Island","1960",14,3
"75","2 - North East Vancouver Island","1961",15,2
"76","2 - North East Vancouver Island","1962",13,4
