"","CU_Name","Year","Escape","SumRawEsc","EscAvg","GroupSum","Props","Present","PresentProps","inverse_prop","GroupCount","GroupEsc","ContrEsc","SiteEsc"
"1","1 - Southern Coastal Streams","1953",28327.8387959321,27075,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,579319.404893477,579319.404893477,5574.03322115242,28327.8387959321
"2","1 - Southern Coastal Streams","1954",49645.6491548284,47450,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,737982.096933971,737982.096933971,7100.63686833011,49645.6491548284
"3","1 - Southern Coastal Streams","1955",23599.791397259,22600,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,337768.871243852,337768.871243852,3249.90824315746,23599.791397259
"4","1 - Southern Coastal Streams","1956",28481.8366583275,26325,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,320389.949453633,320389.949453633,3082.69360027094,28481.8366583275
"5","1 - Southern Coastal Streams","1957",31055.2932322852,27350,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,746663.001635452,746663.001635452,7184.16186470859,31055.2932322852
"6","1 - Southern Coastal Streams","1958",50017.2729517219,46025,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,818196.487796172,818196.487796172,7872.43507792508,50017.2729517219
"7","1 - Southern Coastal Streams","1959",8703.83984256953,7575,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,632206.232452341,632206.232452341,6082.8940176049,8703.83984256953
"8","1 - Southern Coastal Streams","1960",9643.99291747836,8275,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,325100.977388916,325100.977388916,3128.02166281336,9643.99291747836
"9","1 - Southern Coastal Streams","1961",14969.7750019182,11150,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,360461.349005861,360461.349005861,3468.24828812619,14969.7750019182
"10","1 - Southern Coastal Streams","1962",9778.41748061344,8375,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,354337.871130883,354337.871130883,3409.3300664754,9778.41748061344
"11","1 - Southern Coastal Streams","1963",15162.6045104964,8700,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,299008.639254502,299008.639254502,2876.9692065168,15162.6045104964
"12","1 - Southern Coastal Streams","1964",7297.32647806973,6250,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,413135.416630106,413135.416630106,3975.06197389382,7297.32647806973
"13","1 - Southern Coastal Streams","1965",2063.69032783164,1725,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,183868.638778151,183868.638778151,1769.12751794658,2063.69032783164
"14","1 - Southern Coastal Streams","1966",16042.8147436808,14025,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,452457.185765349,452457.185765349,4353.4039483261,16042.8147436808
"15","1 - Southern Coastal Streams","1967",18203.5019105509,14750,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,371282.73030609,371282.73030609,3572.36829231857,18203.5019105509
"16","1 - Southern Coastal Streams","1968",10717.6832418854,9100,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,773766.353005559,773766.353005559,7444.94197955616,10717.6832418854
"17","1 - Southern Coastal Streams","1969",16141.3865666824,13000,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,456242.651430447,456242.651430447,4389.82653523853,16141.3865666824
"18","1 - Southern Coastal Streams","1970",19676.2045275359,16275,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,617087.948617552,617087.948617552,5937.4305381666,19676.2045275359
"19","1 - Southern Coastal Streams","1971",10194.8688709566,6525,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,244615.22772857,244615.22772857,2353.61252228299,10194.8688709566
"20","1 - Southern Coastal Streams","1972",18654.4342143181,15775,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,1233746.65684028,1233746.65684028,11870.7310572101,18654.4342143181
"21","1 - Southern Coastal Streams","1973",47325.7421011778,41125,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,974933.795269559,974933.795269559,9380.51326669435,47325.7421011778
"22","1 - Southern Coastal Streams","1974",26076.4466410249,22731,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,637270.474507627,637270.474507627,6131.62059782589,26076.4466410249
"23","1 - Southern Coastal Streams","1975",14258.1073480494,12025,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,320548.945935887,320548.945935887,3084.22341554495,14258.1073480494
"24","1 - Southern Coastal Streams","1976",19911.1828299548,16650,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,400535.042329915,400535.042329915,3853.8250459488,19911.1828299548
"25","1 - Southern Coastal Streams","1977",48245.5595395283,40350,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,722388.352416885,722388.352416885,6950.59865237154,48245.5595395283
"26","1 - Southern Coastal Streams","1978",41263.6538067287,34215,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,850026.1817953,850026.1817953,8178.69060859021,41263.6538067287
"27","1 - Southern Coastal Streams","1979",5492.05310727928,3225,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1.0059291171072,299960.976735579,301739.480494233,2903.24452141801,5492.05310727928
"28","1 - Southern Coastal Streams","1980",6604.64735009243,5675,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1.0059291171072,894077.360004663,899378.449375023,8653.54295550782,6604.64735009243
"29","1 - Southern Coastal Streams","1981",15430.8503126222,12860,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,721354.718322183,721354.718322183,6940.65334286918,15430.8503126222
"30","1 - Southern Coastal Streams","1982",18736.8359022288,16120,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1.0059291171072,881103.528299809,886327.694302662,8527.97260222776,18736.8359022288
"31","1 - Southern Coastal Streams","1983",10173.9780762988,8532,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,586535.636526791,586535.636526791,5643.46558353465,10173.9780762988
"32","1 - Southern Coastal Streams","1984",14948.5866589977,12338,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1.0059291171072,809597.877795912,814398.078423101,7835.88795063366,14948.5866589977
"33","1 - Southern Coastal Streams","1985",12891.8748610537,11195,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,1253035.89024664,1253035.89024664,12056.3261312045,12891.8748610537
"34","1 - Southern Coastal Streams","1986",3088.52907075632,2615,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,1003954.81278899,1003954.81278899,9659.74457570721,3088.52907075632
"35","1 - Southern Coastal Streams","1987",4112.85951511203,3593,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,711520.077451866,711520.077451866,6846.02745175246,4112.85951511203
"36","1 - Southern Coastal Streams","1988",16831.2888048017,14100,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,919129.201960753,919129.201960753,8843.57862516722,16831.2888048017
"37","1 - Southern Coastal Streams","1989",3253.46059655816,2650,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1.0059291171072,333443.133961566,335420.157351414,3227.3096401194,3253.46059655816
"38","1 - Southern Coastal Streams","1990",1323.14056608325,200,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,802441.817128928,802441.817128928,7720.84848002115,1323.14056608325
"39","1 - Southern Coastal Streams","1991",3750.68444318546,2424,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1.0059291171072,714588.90781537,718825.78913331,6916.32076365011,3750.68444318546
"40","1 - Southern Coastal Streams","1992",1209.61337407692,618,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,1059879.85987559,1059879.85987559,10197.8381864547,1209.61337407692
"41","1 - Southern Coastal Streams","1993",3851.72746911531,1923,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,1005942.96574162,1005942.96574162,9678.87397222505,3851.72746911531
"42","1 - Southern Coastal Streams","1994",7052.05244217087,2238,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,953302.93038344,953302.93038344,9172.3877344594,7052.05244217087
"43","1 - Southern Coastal Streams","1995",2615.06204331541,1407,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,486820.313115042,486820.313115042,4684.03539586944,2615.06204331541
"44","1 - Southern Coastal Streams","1996",6814.92326951915,2630,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1.0059291171072,491708.327666975,494623.723924295,4759.1174157736,6814.92326951915
"45","1 - Southern Coastal Streams","1997",277.953725625295,75,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,674691.08050504,674691.08050504,6491.67016499617,277.953725625295
"46","1 - Southern Coastal Streams","1998",5979.74163942785,2525,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,871470.870347282,871470.870347282,8385.02480937189,5979.74163942785
"47","1 - Southern Coastal Streams","1999",237.32326352237,53,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,362814.830763212,362814.830763212,3490.89276609472,237.32326352237
"48","1 - Southern Coastal Streams","2000",1424.27511343219,452,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,476561.159495861,476561.159495861,4585.32497358567,1424.27511343219
"49","1 - Southern Coastal Streams","2001",1698.66087777258,816,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,1265657.41141345,1265657.41141345,12177.7665277992,1698.66087777258
"50","1 - Southern Coastal Streams","2002",1860.92117730188,467,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,1346546.96297213,1346546.96297213,12956.0609260597,1860.92117730188
"51","1 - Southern Coastal Streams","2003",625.868621259888,193,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1,1281663.99941205,1281663.99941205,12331.7769968218,625.868621259888
"52","1 - Southern Coastal Streams","2004",2693.75687091595,490,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1.0059291171072,1924856.69749071,1936269.39826471,18630.1889076421,2693.75687091595
"53","1 - Southern Coastal Streams","2005",1343.79061025437,327,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1.05482389500149,782572.318415522,825475.981031408,7942.47612399331,1343.79061025437
"54","1 - Southern Coastal Streams","2006",5018.01162596178,1246,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1.05482389500149,495113.279793724,522257.318258979,5024.99936542054,5018.01162596178
"55","1 - Southern Coastal Streams","2007",148.923527542856,27,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1.0059291171072,1159982.50457526,1166860.17668719,11227.1699072295,148.923527542856
"56","1 - Southern Coastal Streams","2008",363.413195443065,144,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1.05482389500149,858484.032198548,905549.470640258,8712.91862504401,363.413195443065
"57","1 - Southern Coastal Streams","2009",909.183046269921,243,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1.05482389500149,1130489.52059788,1192467.35937543,11473.5543469681,909.183046269921
"58","1 - Southern Coastal Streams","2010",591.055952003988,154,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1.05482389500149,507717.275169411,535552.313753742,5152.91972496124,591.055952003988
"59","1 - Southern Coastal Streams","2011",4684.74263441833,269,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1.05482389500149,878482.928223524,926644.784041054,8915.8912455249,4684.74263441833
"60","1 - Southern Coastal Streams","2012",1268.20463341449,96,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1.05482389500149,1672595.02925221,1764293.20351595,16975.4868302049,1268.20463341449
"61","1 - Southern Coastal Streams","2013",4895.19572511305,385,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1.05482389500149,1693128.29387439,1785952.18168182,17183.882859775,4895.19572511305
"62","1 - Southern Coastal Streams","2014",1694.07019571977,145,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1.05482389500149,795602.708757198,839220.748125005,8074.72404759048,1694.07019571977
"63","1 - Southern Coastal Streams","2015",4649.93060618255,398,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1.05482389500149,844837.305670355,891154.57740977,8574.41538761761,4649.93060618255
"64","1 - Southern Coastal Streams","2016",4967.90905743465,411,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1.05482389500149,2299281.50170171,2425337.06932988,23335.8476908313,4967.90905743465
"65","1 - Southern Coastal Streams","2017",1136.21277712617,94,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1.05482389500149,813353.788507231,857945.011207417,8254.88315080946,1136.21277712617
"66","1 - Southern Coastal Streams","2018",1751.46216688948,174,5619.00371121357,583993.269670804,0.0096216925828289,1,0.0096216925828289,1.05482389500149,633580.127532303,668315.457919165,6430.32588445074,1751.46216688948
"67","2 - North East Vancouver Island","1953",120837.360292319,111725,29405.2670432601,583993.269670804,0.0503520649473166,1,0.0503520649473166,1,579319.404893477,579319.404893477,29169.9283004371,120837.360292319
"68","2 - North East Vancouver Island","1954",95854.215328737,95125,29405.2670432601,583993.269670804,0.0503520649473166,1,0.0503520649473166,1,737982.096933971,737982.096933971,37158.9224747762,95854.215328737
"69","2 - North East Vancouver Island","1955",100669.289241356,98725,29405.2670432601,583993.269670804,0.0503520649473166,1,0.0503520649473166,1,337768.871243852,337768.871243852,17007.3601420522,100669.289241356
"70","2 - North East Vancouver Island","1956",55950.6471077858,55525,29405.2670432601,583993.269670804,0.0503520649473166,1,0.0503520649473166,1,320389.949453633,320389.949453633,16132.2955433568,55950.6471077858
"71","2 - North East Vancouver Island","1957",67662.2312767775,66400,29405.2670432601,583993.269670804,0.0503520649473166,1,0.0503520649473166,1,746663.001635452,746663.001635452,37596.0239521066,67662.2312767775
"72","2 - North East Vancouver Island","1958",82794.1969900563,82625,29405.2670432601,583993.269670804,0.0503520649473166,1,0.0503520649473166,1,818196.487796172,818196.487796172,41197.8826931791,82794.1969900563
"73","2 - North East Vancouver Island","1959",33018.0100024242,31425,29405.2670432601,583993.269670804,0.0503520649473166,1,0.0503520649473166,1,632206.232452341,632206.232452341,31832.8892765386,33018.0100024242
"74","2 - North East Vancouver Island","1960",55615.0804205895,51970,29405.2670432601,583993.269670804,0.0503520649473166,1,0.0503520649473166,1,325100.977388916,325100.977388916,16369.5055279228,55615.0804205895
"75","2 - North East Vancouver Island","1961",61013.1942424255,59875,29405.2670432601,583993.269670804,0.0503520649473166,1,0.0503520649473166,1,360461.349005861,360461.349005861,18149.9732561404,61013.1942424255
"76","2 - North East Vancouver Island","1962",28329.468325775,26350,29405.2670432601,583993.269670804,0.0503520649473166,1,0.0503520649473166,1,354337.871130883,354337.871130883,17841.6435004761,28329.468325775
"77","2 - North East Vancouver Island","1963",23259.766613714,21275,29405.2670432601,583993.269670804,0.0503520649473166,1,0.0503520649473166,1,299008.639254502,299008.639254502,15055.7024235514,23259.766613714
"78","2 - North East Vancouver Island","1964",33903.1631184384,32175,29405.2670432601,583993.269670804,0.0503520649473166,1,0.0503520649473166,1,413135.416630106,413135.416630106,20802.2213301958,33903.1631184384
"79","2 - North East Vancouver Island","1965",27754.5283350518,25800,29405.2670432601,583993.269670804,0.0503520649473166,1,0.0503520649473166,1,183868.638778151,183868.638778151,9258.16564153215,27754.5283350518
"80","2 - North East Vancouver Island","1966",46613.0196791137,44200,29405.2670432601,583993.269670804,0.0503520649473166,1,0.0503520649473166,1,452457.185765349,452457.185765349,22782.1536035369,46613.0196791137
"81","2 - North East Vancouver Island","1967",22389.5646783501,20375,29405.2670432601,583993.269670804,0.0503520649473166,1,0.0503520649473166,1,371282.73030609,371282.73030609,18694.8521501893,22389.5646783501
"82","2 - North East Vancouver Island","1968",81007.1133516616,73050,29405.2670432601,583993.269670804,0.0503520649473166,1,0.0503520649473166,1,773766.353005559,773766.353005559,38960.7336605842,81007.1133516616
"83","2 - North East Vancouver Island","1969",14698.3647641934,13400,29405.2670432601,583993.269670804,0.0503520649473166,1,0.0503520649473166,1,456242.651430447,456242.651430447,22972.7596165618,14698.3647641934
"84","2 - North East Vancouver Island","1970",26259.5275643053,25475,29405.2670432601,583993.269670804,0.0503520649473166,1,0.0503520649473166,1,617087.948617552,617087.948617552,31071.6524669973,26259.5275643053
"85","2 - North East Vancouver Island","1971",10016.0575298187,9000,29405.2670432601,583993.269670804,0.0503520649473166,1,0.0503520649473166,1,244615.22772857,244615.22772857,12316.8818336916,10016.0575298187
"86","2 - North East Vancouver Island","1972",29342.7396261411,27130,29405.2670432601,583993.269670804,0.0503520649473166,1,0.0503520649473166,1,1233746.65684028,1233746.65684028,62121.6917937567,29342.7396261411
"87","2 - North East Vancouver Island","1973",35414.5950199125,32500,29405.2670432601,583993.269670804,0.0503520649473166,1,0.0503520649473166,1,974933.795269559,974933.795269559,49089.9297787467,35414.5950199125
"88","2 - North East Vancouver Island","1974",9647.14305576954,8740,29405.2670432601,583993.269670804,0.0503520649473166,1,0.0503520649473166,1,637270.474507627,637270.474507627,32087.8843214153,9647.14305576954
"89","2 - North East Vancouver Island","1975",10949.7291135855,9845,29405.2670432601,583993.269670804,0.0503520649473166,1,0.0503520649473166,1,320548.945935887,320548.945935887,16140.3013445576,10949.7291135855
"90","2 - North East Vancouver Island","1976",8210.06184271692,7398,29405.2670432601,583993.269670804,0.0503520649473166,1,0.0503520649473166,1,400535.042329915,400535.042329915,20167.7664650721,8210.06184271692
"91","2 - North East Vancouver Island","1977",18123.1272729684,16180,29405.2670432601,583993.269670804,0.0503520649473166,1,0.0503520649473166,1,722388.352416885,722388.352416885,36373.74523808,18123.1272729684
"92","2 - North East Vancouver Island","1978",19928.3783648403,17250,29405.2670432601,583993.269670804,0.0503520649473166,1,0.0503520649473166,1,850026.1817953,850026.1817953,42800.5735126765,19928.3783648403
