"BroodYear","Inlet_Name","Spawners","CU_Name","Inlet_ID","Recruits"
1953,"Kyuquot",5750,"WCVI Nootka & Kyuquot",1,NA
1953,"Clayoquot",NA,"WCVI South",2,NA
1953,"Nootka/Esperanza",14600,"WCVI Nootka & Kyuquot",3,NA
1953,"Quatsino",NA,"WCVI North",4,NA
1953,"Barkley",11750,"WCVI South",5,NA
1953,"Nitinat",750,"WCVI South",6,NA
1953,"San Juan",400,"WCVI South",7,NA
1954,"Kyuquot",5000,"WCVI Nootka & Kyuquot",1,NA
1954,"Clayoquot",NA,"WCVI South",2,NA
1954,"Nootka/Esperanza",1225,"WCVI Nootka & Kyuquot",3,NA
1954,"Quatsino",NA,"WCVI North",4,NA
1954,"Barkley",11750,"WCVI South",5,NA
1954,"Nitinat",750,"WCVI South",6,NA
1954,"San Juan",400,"WCVI South",7,NA
1955,"Kyuquot",5000,"WCVI Nootka & Kyuquot",1,NA
1955,"Clayoquot",NA,"WCVI South",2,NA
1955,"Nootka/Esperanza",2625,"WCVI Nootka & Kyuquot",3,NA
1955,"Quatsino",NA,"WCVI North",4,NA
1955,"Barkley",11200,"WCVI South",5,NA
1955,"Nitinat",750,"WCVI South",6,NA
1955,"San Juan",200,"WCVI South",7,NA
1956,"Kyuquot",4300,"WCVI Nootka & Kyuquot",1,NA
1956,"Clayoquot",NA,"WCVI South",2,NA
1956,"Nootka/Esperanza",750,"WCVI Nootka & Kyuquot",3,NA
1956,"Quatsino",NA,"WCVI North",4,NA
1956,"Barkley",15950,"WCVI South",5,NA
1956,"Nitinat",400,"WCVI South",6,NA
1956,"San Juan",25,"WCVI South",7,NA
1957,"Kyuquot",4650,"WCVI Nootka & Kyuquot",1,NA
1957,"Clayoquot",NA,"WCVI South",2,NA
1957,"Nootka/Esperanza",1100,"WCVI Nootka & Kyuquot",3,NA
1957,"Quatsino",NA,"WCVI North",4,NA
1957,"Barkley",8100,"WCVI South",5,NA
1957,"Nitinat",3500,"WCVI South",6,NA
1957,"San Juan",200,"WCVI South",7,NA
1958,"Kyuquot",5200,"WCVI Nootka & Kyuquot",1,NA
1958,"Clayoquot",NA,"WCVI South",2,NA
1958,"Nootka/Esperanza",900,"WCVI Nootka & Kyuquot",3,NA
1958,"Quatsino",NA,"WCVI North",4,NA
1958,"Barkley",15600,"WCVI South",5,NA
1958,"Nitinat",1500,"WCVI South",6,NA
1958,"San Juan",200,"WCVI South",7,NA
1959,"Kyuquot",475,"WCVI Nootka & Kyuquot",1,NA
1959,"Clayoquot",NA,"WCVI South",2,NA
1959,"Nootka/Esperanza",1600,"WCVI Nootka & Kyuquot",3,NA
1959,"Quatsino",NA,"WCVI North",4,NA
1959,"Barkley",9200,"WCVI South",5,NA
1959,"Nitinat",400,"WCVI South",6,NA
1959,"San Juan",200,"WCVI South",7,NA
1960,"Kyuquot",1575,"WCVI Nootka & Kyuquot",1,NA
1960,"Clayoquot",NA,"WCVI South",2,NA
1960,"Nootka/Esperanza",3500,"WCVI Nootka & Kyuquot",3,NA
1960,"Quatsino",NA,"WCVI North",4,NA
1960,"Barkley",8450,"WCVI South",5,NA
1960,"Nitinat",750,"WCVI South",6,NA
1960,"San Juan",1500,"WCVI South",7,NA
1961,"Kyuquot",1000,"WCVI Nootka & Kyuquot",1,NA
1961,"Clayoquot",NA,"WCVI South",2,NA
1961,"Nootka/Esperanza",2950,"WCVI Nootka & Kyuquot",3,NA
1961,"Quatsino",NA,"WCVI North",4,NA
1961,"Barkley",9400,"WCVI South",5,NA
1961,"Nitinat",1500,"WCVI South",6,NA
1961,"San Juan",400,"WCVI South",7,NA
1962,"Kyuquot",1350,"WCVI Nootka & Kyuquot",1,NA
1962,"Clayoquot",NA,"WCVI South",2,NA
1962,"Nootka/Esperanza",5550,"WCVI Nootka & Kyuquot",3,NA
1962,"Quatsino",NA,"WCVI North",4,NA
1962,"Barkley",8100,"WCVI South",5,NA
1962,"Nitinat",1500,"WCVI South",6,NA
1962,"San Juan",400,"WCVI South",7,NA
1963,"Kyuquot",4650,"WCVI Nootka & Kyuquot",1,NA
1963,"Clayoquot",NA,"WCVI South",2,NA
1963,"Nootka/Esperanza",6025,"WCVI Nootka & Kyuquot",3,NA
1963,"Quatsino",NA,"WCVI North",4,NA
1963,"Barkley",9750,"WCVI South",5,NA
1963,"Nitinat",1500,"WCVI South",6,NA
1963,"San Juan",400,"WCVI South",7,NA
1964,"Kyuquot",3025,"WCVI Nootka & Kyuquot",1,NA
1964,"Clayoquot",NA,"WCVI South",2,NA
1964,"Nootka/Esperanza",9450,"WCVI Nootka & Kyuquot",3,NA
1964,"Quatsino",NA,"WCVI North",4,NA
1964,"Barkley",15800,"WCVI South",5,NA
1964,"Nitinat",3500,"WCVI South",6,NA
1964,"San Juan",1500,"WCVI South",7,NA
1965,"Kyuquot",825,"WCVI Nootka & Kyuquot",1,NA
1965,"Clayoquot",NA,"WCVI South",2,NA
1965,"Nootka/Esperanza",10400,"WCVI Nootka & Kyuquot",3,NA
1965,"Quatsino",NA,"WCVI North",4,NA
1965,"Barkley",8650,"WCVI South",5,NA
1965,"Nitinat",3500,"WCVI South",6,NA
1965,"San Juan",750,"WCVI South",7,NA
1966,"Kyuquot",8500,"WCVI Nootka & Kyuquot",1,NA
1966,"Clayoquot",NA,"WCVI South",2,NA
1966,"Nootka/Esperanza",8250,"WCVI Nootka & Kyuquot",3,NA
1966,"Quatsino",NA,"WCVI North",4,NA
1966,"Barkley",9000,"WCVI South",5,NA
1966,"Nitinat",3500,"WCVI South",6,NA
1966,"San Juan",1500,"WCVI South",7,NA
1967,"Kyuquot",1175,"WCVI Nootka & Kyuquot",1,NA
1967,"Clayoquot",NA,"WCVI South",2,NA
1967,"Nootka/Esperanza",6150,"WCVI Nootka & Kyuquot",3,NA
1967,"Quatsino",NA,"WCVI North",4,NA
1967,"Barkley",15800,"WCVI South",5,NA
1967,"Nitinat",1500,"WCVI South",6,NA
1967,"San Juan",400,"WCVI South",7,NA
1968,"Kyuquot",2275,"WCVI Nootka & Kyuquot",1,NA
1968,"Clayoquot",NA,"WCVI South",2,NA
1968,"Nootka/Esperanza",2175,"WCVI Nootka & Kyuquot",3,NA
1968,"Quatsino",NA,"WCVI North",4,NA
1968,"Barkley",13650,"WCVI South",5,NA
1968,"Nitinat",3500,"WCVI South",6,NA
1968,"San Juan",750,"WCVI South",7,NA
1969,"Kyuquot",1700,"WCVI Nootka & Kyuquot",1,NA
1969,"Clayoquot",NA,"WCVI South",2,NA
1969,"Nootka/Esperanza",3150,"WCVI Nootka & Kyuquot",3,NA
1969,"Quatsino",NA,"WCVI North",4,NA
1969,"Barkley",14150,"WCVI South",5,NA
1969,"Nitinat",1500,"WCVI South",6,NA
1969,"San Juan",400,"WCVI South",7,NA
1970,"Kyuquot",2450,"WCVI Nootka & Kyuquot",1,NA
1970,"Clayoquot",NA,"WCVI South",2,NA
1970,"Nootka/Esperanza",2600,"WCVI Nootka & Kyuquot",3,NA
1970,"Quatsino",NA,"WCVI North",4,NA
1970,"Barkley",9650,"WCVI South",5,NA
1970,"Nitinat",750,"WCVI South",6,NA
1970,"San Juan",7500,"WCVI South",7,NA
1971,"Kyuquot",1700,"WCVI Nootka & Kyuquot",1,NA
1971,"Clayoquot",NA,"WCVI South",2,NA
1971,"Nootka/Esperanza",3625,"WCVI Nootka & Kyuquot",3,NA
