"","Estimate","Stock","LL","UL","Param"
"TestlnSMSYo",335,"Artlish",167,672,"SMSY"
"TestlnSMSYo.1",528,"Bedwell/Ursus",274,1018,"SMSY"
"TestlnSMSYo.2",369,"Burman",185,734,"SMSY"
"TestlnSMSYo.3",259,"Cayeghle",126,533,"SMSY"
"TestlnSMSYo.4",203,"Cypre",96,429,"SMSY"
"TestlnSMSYo.5",4784,"Gold",2806,8154,"SMSY"
"TestlnSMSYo.6",535,"Kaouk",278,1029,"SMSY"
"TestlnSMSYo.7",582,"Leiner",305,1113,"SMSY"
"TestlnSMSYo.8",902,"Marble",488,1665,"SMSY"
"TestlnSMSYo.9",1332,"Megin",741,2395,"SMSY"
"TestlnSMSYo.10",617,"Moyeha",325,1174,"SMSY"
"TestlnSMSYo.11",218,"Nahmint",104,456,"SMSY"
"TestlnSMSYo.12",1804,"San Juan",1021,3187,"SMSY"
"TestlnSMSYo.13",446,"Sarita",228,873,"SMSY"
"TestlnSMSYo.14",407,"Tahsis",206,802,"SMSY"
"TestlnSMSYo.15",926,"Tahsish",503,1707,"SMSY"
"TestlnSMSYo.16",62,"Tranquil",26,149,"SMSY"
"TestlnSMSYo.17",1047,"Zeballos",573,1913,"SMSY"
"TestlnSMSYo.18",674,"Barkley",357,1272,"SMSY"
"TestlnSMSYo.19",2825,"Clayoquot",1632,4889,"SMSY"
"TestlnSMSYo.20",1838,"Kyuquot",1041,3243,"SMSY"
"TestlnSMSYo.21",7367,"Nootka/Esperanza",4342,12502,"SMSY"
"TestlnSMSYo.22",1175,"Quatsino",648,2129,"SMSY"
"TestlnSMSYo.23",1804,"San Juan",1021,3187,"SMSY"
"TestlnSMSYo.24",9311,"WCVI Nootka & Kyuquot",5484,15810,"SMSY"
"TestlnSMSYo.25",1175,"WCVI North",648,2129,"SMSY"
"TestlnSMSYo.26",5420,"WCVI South",3186,9220,"SMSY"
"TestlnSREPo",975,"Artlish",467,2036,"SREP"
"TestlnSREPo.1",1534,"Bedwell/Ursus",768,3066,"SREP"
"TestlnSREPo.2",1074,"Burman",520,2220,"SREP"
"TestlnSREPo.3",756,"Cayeghle",353,1620,"SREP"
"TestlnSREPo.4",595,"Cypre",271,1308,"SREP"
"TestlnSREPo.5",13607,"Gold",7750,23892,"SREP"
"TestlnSREPo.6",1552,"Kaouk",777,3099,"SREP"
"TestlnSREPo.7",1689,"Leiner",852,3346,"SREP"
"TestlnSREPo.8",2604,"Marble",1363,4976,"SREP"
"TestlnSREPo.9",3834,"Megin",2064,7123,"SREP"
"TestlnSREPo.10",1790,"Moyeha",908,3528,"SREP"
"TestlnSREPo.11",637,"Nahmint",292,1390,"SREP"
"TestlnSREPo.12",5177,"San Juan",2839,9441,"SREP"
"TestlnSREPo.13",1298,"Sarita",639,2634,"SREP"
"TestlnSREPo.14",1184,"Tahsis",578,2424,"SREP"
"TestlnSREPo.15",2675,"Tahsish",1403,5100,"SREP"
"TestlnSREPo.16",183,"Tranquil",73,462,"SREP"
"TestlnSREPo.17",3020,"Zeballos",1598,5705,"SREP"
"TestlnSREPo.18",1951,"Barkley",997,3817,"SREP"
"TestlnSREPo.19",8074,"Clayoquot",4525,14405,"SREP"
"TestlnSREPo.20",5273,"Kyuquot",2895,9606,"SREP"
"TestlnSREPo.21",20873,"Nootka/Esperanza",11945,36476,"SREP"
"TestlnSREPo.22",3384,"Quatsino",1806,6342,"SREP"
"TestlnSREPo.23",5177,"San Juan",2839,9441,"SREP"
"TestlnSREPo.24",26323,"WCVI Nootka & Kyuquot",15053,46031,"SREP"
"TestlnSREPo.25",3384,"WCVI North",1806,6342,"SREP"
"TestlnSREPo.26",15400,"WCVI South",8790,26981,"SREP"
